"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",200876.072942772,30789.8265165568,11962.5221937072,0,2101.97751607309,2199.8730727471,672.980406666667,0,65.2657
"2",0,65147.4207567556,11199.1692270562,0,612.023940536543,6877.9906746002,3035.53560035432,0,0
"3",0,0,53921.4973120726,0,580.747425,1061.08102333333,850.7732,0,162.98715
"4",29552.7987302964,8783.69167856041,3355.70792833333,18551.5864157267,740.224153333333,23815.164163795,1090.43518311991,11.8449,0
"5",0,0,0,0,3534.59893929798,92.23614,0,0,0
"6",0,0,0,0,0,90757.5650721762,4741.93945699485,15.7932,0
"7",0,0,0,0,0,0,6765.49330791626,0,0
"8",0,0,0,0,0,0,0,7.8966,0
"9",0,0,0,0,0,4238.3337956395,0,0,5952.8871626985
"10",0,1976.21169520309,0,0,9.7999,387.93588,0,0,0
"11",148.940829362135,0,0,11.85258,0,0,0,0,0
