"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",1022.26768986832,9.7184,27.2389,1704.75198856213,141.745149947772,0,0,0
"2",1633.71119083766,1358.25053326487,840.869933333333,5659.31889871792,1989.28618765264,1288.23406062585,174.463371640884,610.387271666667
"3",0,166.98188,97.716095789933,1915.3605177968,424.471301500783,39.0616666666667,0,0
"4",1093.53835615231,74.0081534523913,2959.15812666667,10286.4403193517,3156.83452111718,111.143443250444,84.1751299165328,1481.33355406154
"5",620.48319681863,256.48202,0,1847.83414606043,1289.45702097386,0,0,430.81185
"6",16830.8387410252,6905.8029895896,3671.85607686317,10239.410564612,8434.71087423037,349.270697507849,0,228.2629
"7",845.25287,53.9472,0,11.1423266666667,389.55076,0,0,0
"8",23.79354,0,0,4.00234,11.82172,0,0,0
"9",0,3.95086,46.8387,0,0,0,0,0
"10",0,0,0,0,0,111.796663666006,3.9483,0
"11",0,0,0,380.8439,264.340375,0,0,0
