"timebin","purpose","freq_stop","freq_trip"
1,"atwork",40.780275,180.615255
10,"atwork",3118.26234166667,14207.5017395699
11,"atwork",1635.11555790147,10997.8410974304
12,"atwork",4703.34173,20232.1740978152
13,"atwork",5065.52339321802,18947.7510712052
14,"atwork",8253.23554217991,33854.1250318404
15,"atwork",7664.21039166667,42918.0080341354
16,"atwork",11556.2751427742,62468.7064634748
17,"atwork",8317.39413863489,48929.7684996017
18,"atwork",9166.76203890236,42243.3186305193
19,"atwork",9624.53499986515,30395.1016414572
2,"atwork",13.593425,463.452127931354
20,"atwork",13643.2047985153,27789.9793702254
21,"atwork",12147.7578473814,22824.4470720747
22,"atwork",16715.1157242066,13786.9360295941
23,"atwork",17514.1194088079,10405.5570655171
24,"atwork",16522.9052603532,5860.63410035401
25,"atwork",21354.3447706982,4078.71230172107
26,"atwork",18141.2163981223,2299.77422166667
27,"atwork",12784.8531290812,2976.61966709098
28,"atwork",8739.97525546562,2071.38720937269
29,"atwork",6141.96064061425,2224.54821543534
3,"atwork",156.22503,208.737805
30,"atwork",2250.00472176992,1086.31740464559
31,"atwork",4178.31403325792,486.573976666667
32,"atwork",3007.95973226745,761.410094645591
33,"atwork",2686.51769693415,1470.7814
34,"atwork",505.664135,1098.08658
35,"atwork",585.643354645591,1005.76608
36,"atwork",510.15292,256.0438
37,"atwork",473.76873,375.9822
38,"atwork",159.22556,298.5123
39,"atwork",245.642033333334,0
4,"atwork",13.593425,447.14994799224
40,"atwork",0,0
5,"atwork",39.762865,3312.11604299224
6,"atwork",98.362475,2110.85230666667
7,"atwork",128.14174,5098.08674289989
8,"atwork",663.397995,8779.69809587558
9,"atwork",1631.264845,12748.4691869383
1,"esco",32.5431,4835.5864
10,"esco",5757.78732062223,23837.9079322519
11,"esco",11306.2463822061,19209.6355782693
12,"esco",7691.49659178744,17794.2283296729
13,"esco",6590.58855438846,15180.8652853254
14,"esco",5574.77800197791,17005.2685809651
15,"esco",9666.64031777757,22234.9297490467
16,"esco",8752.46875892867,21507.3244686139
17,"esco",9730.9265633673,25955.1170535225
18,"esco",14408.0305903112,27929.571960968
19,"esco",11503.0250222933,36241.5441373224
2,"esco",130.1136,1538.73569666667
20,"esco",12544.7864766531,54168.8287067171
21,"esco",20594.7398680211,86643.2361982618
22,"esco",15276.9522458404,76254.2043870352
23,"esco",16126.8389938654,53305.7199975876
24,"esco",14665.106137805,50916.9590811236
25,"esco",10886.3969526398,51868.5590741783
26,"esco",11035.5579756394,44627.9391803291
27,"esco",8907.61616376475,39425.7644262976
28,"esco",9338.46125694114,42538.993797505
29,"esco",7859.39836833333,28896.4016316493
3,"esco",35.33704,909.728129794148
30,"esco",7072.12454272928,33075.0937499151
31,"esco",4216.71856333333,20201.1488488256
32,"esco",5506.6600616321,18326.6703893903
33,"esco",3768.00175501357,8624.22064423231
34,"esco",3690.86924666667,8864.04698844705
35,"esco",3161.75763570459,8403.02840813957
36,"esco",4716.42838791315,6143.39526957982
37,"esco",424.82287,528.454403333333
38,"esco",106.247643333333,1688.43261952048
39,"esco",1345.25524,3408.7817235584
4,"esco",148.09816,7393.75261404295
40,"esco",97.60045,7384.78764124989
5,"esco",1710.27794953147,16823.6808756507
6,"esco",5395.03198888979,47508.7844723475
7,"esco",13399.1001701986,88221.0108249963
8,"esco",9161.48690940134,57096.8972302141
9,"esco",6726.25257588367,43609.3999468373
1,"idisc",2307.5825083537,13991.7782567248
10,"idisc",11738.3123416029,44512.2991262421
11,"idisc",14087.8148428035,47947.5593190912
12,"idisc",19140.510623734,50589.1252499789
13,"idisc",14537.0756651846,47338.9500254621
14,"idisc",20491.8513219055,68827.6868544443
15,"idisc",18321.8521781875,54364.24111838
16,"idisc",23853.5403527812,64585.4742552706
17,"idisc",23728.6728313166,64116.4088589058
18,"idisc",24785.2130333425,67803.1888753201
19,"idisc",30145.4479071293,59028.847849107
2,"idisc",626.002513724213,3923.90100567334
20,"idisc",13267.3501183776,48302.9766372695
21,"idisc",31133.7550800867,60730.7685623511
22,"idisc",18944.5258341603,52877.0673861077
23,"idisc",16674.578274891,54458.3879672343
24,"idisc",20728.3979679688,61514.3949838134
25,"idisc",24949.837482943,62567.9507676764
26,"idisc",21781.2877983793,72222.2321019476
27,"idisc",21834.8997605789,86027.3593171963
28,"idisc",24083.7391169804,81126.8148983038
29,"idisc",18264.7400196123,73206.4043112091
3,"idisc",402.237532057546,6746.27170344606
30,"idisc",17574.0024576385,70363.6209671522
31,"idisc",19451.1532277492,55013.7666420707
32,"idisc",15410.9456933904,49792.2117761862
33,"idisc",13066.0461583326,52840.8361912303
34,"idisc",11936.4731427488,38715.792814671
35,"idisc",5442.46669666667,22837.1067680151
36,"idisc",10059.8361774666,31757.7855448076
37,"idisc",8196.5046522546,13942.9886173376
38,"idisc",2165.28650981048,7046.98879935417
39,"idisc",1788.64146,5477.61834758461
4,"idisc",1858.491525,13644.0082275097
40,"idisc",4091.64488141064,15797.0938798165
5,"idisc",2727.76405833333,19519.4575799139
6,"idisc",6070.37144695413,26727.0958313765
7,"idisc",7947.76503929124,32880.4373559887
8,"idisc",11697.389492274,44227.197234616
9,"idisc",10955.0045089045,47753.4063140135
1,"imain",19.6349,508.73325
10,"imain",18143.7587700367,65727.460147897
11,"imain",16675.6270225029,71561.9916659509
12,"imain",26764.3050528281,73379.8924142213
13,"imain",26843.3985977424,76344.2844036366
14,"imain",24606.1377297222,80393.354844729
15,"imain",32728.257310398,84166.4788628349
16,"imain",28089.5303097732,78530.1119460933
17,"imain",29803.7422949881,85463.6560519549
18,"imain",47167.0140721115,88483.4950167934
19,"imain",25991.2631319319,91720.0203345812
2,"imain",55.56686,1614.86140693067
20,"imain",28437.6429005003,88505.6881481182
21,"imain",35251.103000601,100398.03348533
22,"imain",28532.9440489716,81193.8711315845
23,"imain",22201.7351614652,70064.2674795776
24,"imain",17949.5932393527,64382.9653670616
25,"imain",20083.5941431123,57247.3777264728
26,"imain",12954.2811783676,47212.8688634842
27,"imain",18678.8939634521,56062.4714926613
28,"imain",13168.274613187,46041.4482096858
29,"imain",8005.62188498269,29009.6251631438
3,"imain",0,833.944923915718
30,"imain",7547.1354142736,39951.5707909591
31,"imain",10569.5152309074,28686.0364302411
32,"imain",9455.55626711654,28316.9555284016
33,"imain",7296.77336589652,15701.5541264089
34,"imain",8446.19634520537,14766.2570302054
35,"imain",2633.50620166667,12541.2641029759
36,"imain",1268.36019978241,3134.40635172704
37,"imain",366.974075,1437.03270333333
38,"imain",81.828275,931.25248
39,"imain",281.40278,477.185686939776
4,"imain",228.195495251526,2390.63074682809
40,"imain",87.92714,2508.03994360644
5,"imain",1425.8346930718,6024.84276941132
6,"imain",1116.2256855146,8934.12174644374
7,"imain",5585.3930501594,17857.7218338191
8,"imain",3468.04604650396,23506.8372819587
9,"imain",8894.55454766932,38716.7679941951
1,"jdisc",237.9924,373.56624
10,"jdisc",2310.81406984858,6175.52348240647
11,"jdisc",379.00952830755,6264.0990603318
12,"jdisc",643.676725236687,3466.55054551302
13,"jdisc",1692.98022599928,5992.63061784438
14,"jdisc",2960.62918228349,7821.0555393541
15,"jdisc",2269.83469,7183.42637933148
16,"jdisc",6473.58083366746,8739.64234764729
17,"jdisc",3680.32630704913,7654.42064836832
18,"jdisc",1398.11419155664,6742.63973864808
19,"jdisc",1925.66759774917,5195.99014274917
2,"jdisc",0,131.23672
20,"jdisc",1054.59842731316,2659.69642051085
21,"jdisc",1814.67576608251,5117.96180697306
22,"jdisc",940.127929415841,5271.69833079595
23,"jdisc",564.800729243479,2767.21553462594
24,"jdisc",1115.35197608251,5642.94764719268
25,"jdisc",638.293278388416,6588.45830813834
26,"jdisc",1100.17159774917,7015.98431754567
27,"jdisc",596.033852749174,12643.0370288095
28,"jdisc",1207.10462999717,10731.0809622968
29,"jdisc",1881.0521621138,12831.0270714222
3,"jdisc",0,118.87056
30,"jdisc",1786.11183196685,12140.4153819223
31,"jdisc",1269.73544274917,13291.9891517466
32,"jdisc",432.02963,7057.97276820282
33,"jdisc",699.96154,4642.44103075076
34,"jdisc",248.258821666667,3273.14547327738
35,"jdisc",383.77382767164,1543.49177933831
36,"jdisc",232.937905,1825.08499653283
37,"jdisc",90.308725,381.453843333333
38,"jdisc",23.04463,123.167008333333
39,"jdisc",15.9189333333333,15.9189333333333
4,"jdisc",0,1642.20803409955
40,"jdisc",0,765.135773333333
5,"jdisc",627.363808147548,1290.4810562951
6,"jdisc",36.3705,1682.77796737353
7,"jdisc",73.687505,571.005541118914
8,"jdisc",358.71138,2318.65806938222
9,"jdisc",0,3055.19437631727
1,"jmain",0,0
10,"jmain",178.576245,6382.45371494133
11,"jmain",914.385426036464,3866.73925215456
12,"jmain",733.668158001731,12618.3005287179
13,"jmain",3713.29098743552,10958.1117555023
14,"jmain",3701.3913450113,8392.32650112379
15,"jmain",1625.16349905818,9444.88698003406
16,"jmain",6265.01311859161,11442.0430633898
17,"jmain",2974.60997755949,8754.69106551375
18,"jmain",2360.79230868549,4879.46807095166
19,"jmain",2005.31574284188,4837.160994241
2,"jmain",0,122.622275
20,"jmain",809.114031666667,5508.11191109103
21,"jmain",1277.96124762981,5609.70006922164
22,"jmain",922.290608333333,3980.47846353904
23,"jmain",1472.37956809283,5794.38510763809
24,"jmain",1777.49765785878,8502.82022920391
25,"jmain",536.67699,7944.12031900872
26,"jmain",3373.32352859939,7104.90966303412
27,"jmain",1253.65838276807,7563.83875302835
28,"jmain",900.36898405089,4430.03265195073
29,"jmain",1013.61296,4660.18344364833
3,"jmain",0,0
30,"jmain",552.006337899843,6846.50059864833
31,"jmain",957.262993333333,4110.46399845164
32,"jmain",1174.23948333333,4139.01000666667
33,"jmain",13.01746,1728.98308178497
34,"jmain",4.89995,454.553428333333
35,"jmain",434.701038451642,2202.98041511831
36,"jmain",70.3145134516417,549.027053451642
37,"jmain",70.3145134516417,655.966763451642
38,"jmain",13.44415,26.8883
39,"jmain",13.06802,26.51217
4,"jmain",0,122.622275
40,"jmain",0,32.6518
5,"jmain",13.01136,119.21473
6,"jmain",0,118.83841830755
7,"jmain",341.4552,1467.9074540199
8,"jmain",30.9368933333333,655.398936335065
9,"jmain",31.3696833333333,2661.95178615665
1,"sch",0,0
10,"sch",4381.325465,8535.63727934418
11,"sch",685.945566666667,2635.86190666667
12,"sch",1116.63945333333,2338.73289666667
13,"sch",1623.438225,4100.43769
14,"sch",1113.69306333333,4730.97090666667
