"timebin","purpose","freq_stop","freq_trip"
15,"sch",2338.378685,6623.00127344265
16,"sch",2753.47172833333,8763.18620307745
17,"sch",6994.64831076223,25622.1113493265
18,"sch",6610.5477357171,21162.7274221618
19,"sch",10209.9008748531,24662.6699338795
2,"sch",0,0
20,"sch",8497.24147062949,41946.1670725285
21,"sch",25440.2252209212,89308.7016055234
22,"sch",21417.1758417429,83042.0055752378
23,"sch",26603.350423873,52857.5565110078
24,"sch",18789.5738518089,40449.9740503505
25,"sch",20606.0684200835,47772.6235663102
26,"sch",22683.0748801283,49672.2076598412
27,"sch",18708.2029544854,33796.7292157144
28,"sch",14768.6002263353,23863.0807964427
29,"sch",15471.3875575497,21394.7560375497
3,"sch",0,1034.5694018446
30,"sch",14774.0421919113,21396.2311259126
31,"sch",6558.14413688622,11210.0589241754
32,"sch",20767.8725545182,25299.9239088744
33,"sch",3098.93486656111,10262.2539075847
34,"sch",2143.79421058504,3823.32048558504
35,"sch",2309.26118913448,3130.09470913448
36,"sch",168.353946170687,185.419606170687
37,"sch",7.83992,20.85128
38,"sch",3.91996,3.91996
39,"sch",0,0
4,"sch",968.011230177934,11224.440723722
40,"sch",0,59.96584
5,"sch",957.621236948548,44257.2940686298
6,"sch",13819.0992730098,119584.118520959
7,"sch",17120.7402063068,112112.867985434
8,"sch",13129.9329283333,63330.8357915761
9,"sch",7101.76860919513,35065.1928158792
1,"univ",49.3195,2516.9473665748
10,"univ",4844.14362634567,21441.5654453589
11,"univ",9793.34234783427,19160.5704150079
12,"univ",5245.72956132943,17192.4745321411
13,"univ",6292.44486952466,13882.6483191731
14,"univ",4200.817225,15600.1552125386
15,"univ",8339.8735721079,18607.3705221274
16,"univ",7311.85371446987,20413.5387054347
17,"univ",8479.0327193085,22118.7016832028
18,"univ",5001.66667378397,18279.9029145707
19,"univ",8879.2994853701,22614.7218498767
2,"univ",9.7999,254.6559
20,"univ",8696.53135704848,24807.9263079098
21,"univ",5874.18851422825,18743.2118486528
22,"univ",9344.42622037969,20895.8245289737
23,"univ",11397.7463097609,23327.6062941059
24,"univ",3433.27179833333,9486.7598321923
25,"univ",5649.83649987199,12288.1427884486
26,"univ",10794.8846269882,18426.220239251
27,"univ",11737.6671037513,28456.0074592902
28,"univ",7431.77240069062,22445.0059500348
29,"univ",7435.11311974449,13843.8330592036
3,"univ",802.6787,4933.36976731364
30,"univ",3067.33135227891,7338.13866333859
31,"univ",5017.72516516058,7105.44362349392
32,"univ",6388.0160977432,10827.7551391427
33,"univ",1332.71774,11595.7621125913
34,"univ",2344.93208650294,11939.0747574402
35,"univ",3792.88081814623,7316.68399324198
36,"univ",2953.77857833333,5722.71974943353
37,"univ",620.854663726435,748.128448726435
38,"univ",1163.95516,1925.70121053654
39,"univ",111.86222,185.50298
4,"univ",4152.31858218604,9645.80137287075
40,"univ",4246.29912403504,7236.61887771923
5,"univ",3648.95079589552,13593.6506924069
6,"univ",3254.99870303675,33912.5863232675
7,"univ",7139.35306199141,23557.4119729938
8,"univ",4828.63386470342,31392.9065542329
9,"univ",9677.54095253809,22912.1633578663
1,"work",5719.1944156343,44708.9115253411
10,"work",34343.7185579369,86901.3929919175
11,"work",34002.228843879,69805.5991006741
12,"work",22680.2614482072,52365.5454511415
13,"work",20755.3563548775,50708.0030788557
14,"work",21559.103638788,54435.9919781689
15,"work",33988.6209856691,80081.3067381914
16,"work",34865.0369658264,86967.8983486186
17,"work",39216.3208620036,83110.4004376328
18,"work",32093.4350035878,74509.0329827831
19,"work",34762.1362633334,69206.3769615634
2,"work",5798.40750653782,40725.0453382131
20,"work",38225.6937399234,95097.4163828179
21,"work",51531.8815112067,118841.320165029
22,"work",47760.6171175013,131405.183417478
23,"work",51324.2904881388,136869.182267504
24,"work",63381.0009111535,174187.162568427
25,"work",66744.2622453235,190854.458272242
26,"work",68325.9736977081,193692.643978441
27,"work",73558.0179381717,152425.830619633
28,"work",60303.2416103366,123806.923388607
29,"work",49448.4052809288,99212.4161620961
3,"work",9792.73903040673,71421.055716053
30,"work",36240.3229513571,67351.5641809113
31,"work",29865.3340957163,53808.6054458299
32,"work",28657.578691692,53716.800732108
33,"work",21702.4412676667,38202.7449196198
34,"work",14043.2681117836,29866.8476679347
35,"work",11257.8128898389,18968.0336910965
36,"work",5406.02478164628,12538.9886626026
37,"work",4809.76440026986,14032.7912982031
38,"work",2341.16477999021,7180.92768052165
39,"work",2247.65018027827,11761.4506665626
4,"work",23376.4600783207,119157.221816944
40,"work",5441.04344867849,17757.4336881158
5,"work",23446.6186789665,152903.547294016
6,"work",47947.1138812948,212649.465176218
7,"work",62955.7561880208,195611.97881218
8,"work",38630.4347588994,142005.289223017
9,"work",37574.5601388208,119906.319104878
1,"Total",8407.047098988,67116.1382936407
10,"Total",84816.6987380597,277721.741859929
11,"Total",89479.715518138,251449.897395577
12,"Total",88719.6293444578,249977.024045869
13,"Total",87114.0968733705,243453.682247005
14,"Total",92461.6370502016,291060.935449831
15,"Total",116942.831629865,325623.649657524
16,"Total",129920.770925146,363417.92580162
17,"Total",132925.67400499,371725.275648029
18,"Total",142991.575647999,352033.345612716
19,"Total",135046.591025367,343902.433844778
2,"Total",6633.48380526203,48774.5104704152
20,"Total",125176.163320628,388786.790957188
21,"Total",185066.288056159,508217.380813418
22,"Total",159854.175570552,468707.269250346
23,"Total",163879.839358139,409849.878224798
24,"Total",158362.698800717,420944.617859719
25,"Total",171449.310783061,441210.403124196
26,"Total",170189.771681682,442274.78022554
27,"Total",168059.843248803,419377.657979722
28,"Total",139941.538093985,357054.767864199
29,"Total",115521.291993879,285279.195095357
3,"Total",11189.2173324643,86206.5480073671
30,"Total",90863.0818018253,259549.452863405
31,"Total",82083.9028890934,193914.087041502
32,"Total",90800.8582116933,198238.710343618
33,"Total",53664.4118504046,145069.577414203
34,"Total",43364.3560501591,112801.125225894
35,"Total",30001.8036519264,77948.4499470601
36,"Total",25386.1874097641,62112.8710343058
37,"Total",15061.1525497025,32123.6495577188
38,"Total",6058.11666813402,19225.7903582662
39,"Total",6049.44086694493,21352.9705079788
4,"Total",30745.1684959362,165667.835759009
40,"Total",13964.5150441242,51541.7274438412
5,"Total",34597.2054458947,257844.285109317
6,"Total",77737.5739536999,453228.640762961
7,"Total",114691.392160968,477378.428523451
8,"Total",81968.9702684488,373313.718417208
9,"Total",82592.3158613449,326428.864883081
