"PERTYPE","inumTours","freq","purpose"
1,0,1179513.26532251,4
1,1,28675.4108910917,4
1,2,10654.0027549425,4
2,0,201206.695874081,4
2,1,11962.8196166207,4
2,2,4030.19609746084,4
3,0,289882.846599978,4
3,1,11785.9711932329,4
3,2,3669.95236272983,4
4,0,361419.875232718,4
4,1,17052.2249760934,4
4,2,9832.98033297238,4
5,0,317198.48062808,4
5,1,2647.65791833333,4
5,2,453.977531666667,4
6,0,112373.926192452,4
6,1,5064.19990393626,4
6,2,309.999608948686,4
7,0,389263.586298333,4
7,1,23854.5336133333,4
7,2,3033.74818833333,4
8,0,157536.479926667,4
8,1,13149.569525,4
8,2,3078.52754833333,4
1,0,1182544.76300728,5
1,1,33354.1799329331,5
1,2,2943.73602833333,5
2,0,205473.682167368,5
2,1,11155.0677822999,5
2,2,570.961638494673,5
3,0,293261.437095819,5
3,1,10522.8995701211,5
3,2,1554.43349,5
4,0,360693.424361578,5
4,1,25797.9591090072,5
4,2,1813.6970711986,5
5,0,298896.217497925,5
5,1,19660.2020118216,5
5,2,1743.69656833333,5
6,0,117666.823650935,5
6,1,81.3020544020436,5
7,0,409419.925665,5
7,1,6731.942435,5
8,0,166401.516063333,5
8,1,7346.60533666667,5
8,2,16.4556,5
1,0,1182976.37471537,6
1,1,32646.4969298333,6
1,2,3219.80732333333,6
2,0,209752.791338583,6
2,1,5292.78015609389,6
2,2,2154.14009348557,6
3,0,293139.514846755,6
3,1,11174.6995839171,6
3,2,1024.55572526773,6
4,0,367640.099511516,6
4,1,19369.989828666,6
4,2,1294.99120160165,6
5,0,299262.359712877,6
5,1,19220.0640718697,6
5,2,1817.69229333333,6
6,0,114121.0157612,6
6,1,3627.10994413748,6
7,0,412733.780443333,6
7,1,3192.91830333333,6
7,2,225.169353333333,6
8,0,168891.897136667,6
8,1,4351.54926333333,6
8,2,521.1306,6
1,0,1186048.31955315,7
1,1,32794.3594153904,7
2,0,211441.702143081,7
2,1,5758.00944508067,7
3,0,294925.039491029,7
3,1,10413.7306649115,7
4,0,375736.34611343,7
4,1,12568.7344283534,7
5,0,313518.040061592,7
5,1,6782.07601648747,7
6,0,113291.628552419,7
6,1,4456.49715291863,7
7,0,412190.505095,7
7,1,3961.363005,7
8,0,168310.258753333,7
8,1,5454.31824666667,7
1,0,1204685.56885521,8
1,1,14157.1101133333,8
2,0,213032.249593162,8
2,1,4167.461995,8
3,0,299845.696494274,8
3,1,5493.07366166667,8
4,0,383728.188881783,8
4,1,4576.89166,8
5,0,318848.570576413,8
5,1,1451.54550166667,8
6,0,116664.376770823,8
6,1,1083.74893451491,8
7,0,414045.627358333,8
7,1,2106.24074166667,8
8,0,172448.610826667,8
8,1,1315.96617333333,8
1,0,1167289.76309538,9
1,1,47705.0963815733,9
1,2,3847.81949158508,9
2,0,202011.321662635,9
2,1,13234.4288538608,9
2,2,1953.96107166667,9
3,0,288458.833209151,9
3,1,15543.8543454397,9
3,2,1336.08260134996,9
4,0,357372.91448711,9
4,1,28441.4439294328,9
4,2,2490.72212524088,9
5,0,297659.466219573,9
5,1,20068.7349668397,9
5,2,2571.91489166667,9
6,0,117288.6920519,9
6,1,459.433653436996,9
7,0,401991.185691667,9
7,1,13897.3749983333,9
7,2,263.30741,9
8,0,166903.097971667,9
8,1,6297.79263166667,9
8,2,563.686396666667,9
