"","PERTYPE","TOURPURP","freq"
"1",1,4,115232.498425877
"2",1,5,85520.0241814082
"3",1,6,72314.2052378475
"4",1,7,73326.6671746305
"5",1,8,23507.419005
"6",1,9,109923.247451136
"7",2,4,43133.5913110721
"8",2,5,27974.8848852868
"9",2,6,25142.4369331145
"10",2,7,15003.2313309149
"11",2,8,9127.74869833333
"12",2,9,37697.5133626752
"13",3,4,38738.4837653182
"14",3,5,21681.4153363633
"15",3,6,25165.0665866665
"16",3,7,21266.0152056117
"17",3,8,10703.1978716667
"18",3,9,39104.0825653015
"19",4,4,109093.801227005
"20",4,5,70155.5295807341
"21",4,6,51806.656229997
"22",4,7,31128.8214728552
"23",4,8,7254.54210833333
"24",4,9,78088.6959867023
"25",5,4,18098.4409137726
"26",5,5,64440.8720795045
"27",5,6,48848.1733331859
"28",5,7,18301.6726863872
"29",5,8,2758.997125
"30",5,9,67612.4008311035
"31",6,4,6433.84122005995
"32",6,5,1502.36538399522
"33",6,6,6600.71429011769
"34",6,7,5287.9530179479
"35",6,8,1756.79068085224
"36",6,9,6565.0244981278
"37",7,4,55211.6919233333
"38",7,5,15150.5865033333
"39",7,6,5196.82993333333
"40",7,7,8958.63366
"41",7,8,2714.55075
"42",7,9,28919.6535133333
"43",8,4,37952.0447666667
"44",8,5,15914.5204833333
"45",8,6,8216.65986
"46",8,7,7281.17435
"47",8,8,1742.57529
"48",8,9,18227.9399833333
