"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",249049.901582639,9007.27051876581,1669.82802169847,0,0,4.9156,0,0,0
"2",0,62370.1409780785,3731.95038166667,0,0,13.06802,0,0,0
"3",0,0,26434.3870604828,0,0,4.89995,0,0,0
"4",5937.18651486345,989.156125,1512.11965,83344.0666782128,42.8450666666666,1642.56083037599,0,0,22.37056
"5",0,0,0,0,1812.32237333333,0,0,0,0
"6",0,0,0,0,0,7168.60294557268,0,0,0
"7",0,0,0,0,0,0,26.748675,0,0
"8",0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,48.40592
"10",0,265.545815,0,0,0,0,0,0,0
"11",122.843433333333,0,0,0,0,0,0,0,0
