"esc_type","child_type","freq_out","freq_inb"
"Ride Share","Non-DrivStudent",9933.6785,7297.1869
"Pure Escort","Non-DrivStudent",29221.7934,31716.9417
"No Escort","Non-DrivStudent",77712.2253,77918.6254
"Ride Share","Pre-Schooler",5418.1902,3974.9807
"Pure Escort","Pre-Schooler",1276.4904,1406.6183
"No Escort","Pre-Schooler",7983.6067,9296.6883
"Ride Share","Total",15351.8687,11272.1676
"Pure Escort","Total",30498.2838,33123.56
"No Escort","Total",85695.832,87215.3137
