"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",0,0,0,0,0,0,0,0,0
"2",0,168048.051616844,4966.10785736684,0,52.24288,35.9564,0,0,0
"3",0,0,59125.5487615821,0,0,0,0,0,0
"4",0,474.743760041659,441.873743333333,9446.28089504791,0,747.80765121129,0,0,0
"5",0,0,0,0,169.709146666667,0,0,0,0
"6",0,0,0,0,0,887.119644574775,0,0,0
"7",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0
"11",0,65.5173,0,0,0,0,0,0,0
