"DropOff","Ride Share","Pure Escort","No Escort","Total"
"Ride Share",2980.5887,53.783,5483.914,8518.2857
"Pure Escort",0,3283.0916,1120.2395,4403.3311
"No Escort",4017.4689,65.2647,83712.1652,87794.8988
"Total",6998.0576,3402.1393,90316.3187,100716.5156
