"","District_1","District_2","District_3","District_4","District_5","District_6","District_7","District_8","District_Total"
"District_1",7774.2773,3458.4478,4663.0494,784.5951,427.5961,138.3072,19.7672,0,17266.0401
"District_2",25567.3945,55167.1071,91891.231,19588.6172,11641.1313,3039.0683,1650.2562,65.5921,208610.3977
"District_3",21832.9102,35063.1541,221018.3566,6343.6188,13236.0548,9442.111,8002.4387,0,314938.6442
"District_4",18781.533,28988.1042,31235.4623,49440.0056,4773.3617,65.7792,0,0,133284.246
"District_5",12397.4944,21828.4692,49295.8946,4650.7523,55867.0775,4091.5098,2042.8916,0,150174.0894
"District_6",3255.7249,2294.5628,27905.5878,438.0373,242.6742,72530.7355,19931.7239,0,126599.0464
"District_7",1817.5084,736.1288,35378.8012,1331.5715,2087.0195,31481.8152,54860.033,0,127692.8776
"District_8",0,527.1281,0,0,0,0,0,0,527.1281
"District_Total",91426.8427,148063.1021,461388.3829,82577.1978,88274.9151,120789.3262,86507.1106,65.5921,1079092.4695
