"tempid1","TOURPURP","IS_INBOUND","TRIP_ID","bin1","bin2","bin3","bin4","p1","p2","p3","p4"
101,1,0,1,1073165.80396277,0,0,0,1,0,0,0
102,1,0,2,790013.131458596,634831.754881615,260051.964881641,157344.015736816,0.428832703490515,0.34459758561846,0.141160675319812,0.0854090355712136
103,1,0,3,129664.393946964,122068.759709881,34669.508871748,19309.8702345194,0.424138300039657,0.39929262502453,0.113405585824028,0.0631634891117862
104,1,0,4,18823.8658169704,20175.9983437066,9643.55071682019,2985.78812422649,0.36459725741538,0.390786554327267,0.186784806972485,0.0578313812848673
201,2,0,1,184207.793592838,0,0,0,1,0,0,0
202,2,0,2,53508.8997205489,68828.6956948272,31076.2849600612,13804.3265011588,0.319994459455228,0.41161005718487,0.185842711392037,0.0825527719678645
203,2,0,3,11226.5655305822,11374.316238319,8586.6986685363,4517.02555759699,0.314429055235717,0.318567196621658,0.240492743981841,0.126511004160785
204,2,0,4,3047.96828,5674.7114192763,4322.41869566154,2104.65602,0.201189286408146,0.37457448245372,0.285312789717541,0.138923441420594
301,3,0,1,349507.108824154,0,0,0,1,0,0,0
302,3,0,2,163612.594750445,119208.745858043,12170.7358666667,11320.2204702391,0.534136554039854,0.389173882494486,0.0397330958895077,0.0369564675761519
303,3,0,3,7456.66677333333,13122.2656233333,1988.55832,3235.6272,0.288983168523093,0.508553488214595,0.0770665904183446,0.125396752843968
304,3,0,4,304.442931666667,1727.352065,726.017528333333,117.356625,0.105886963786693,0.600782762641982,0.25251297939578,0.0408172941755444
401,4,0,1,466805.933455691,0,0,0,1,0,0,0
402,4,0,2,164708.461741158,105542.707171421,20634.8497762029,10600.7635586184,0.546320672877784,0.350074077492435,0.0684436300072019,0.0351616196225789
403,4,0,3,14872.2275577799,24768.5350806547,4528.59077332135,3671.68047441112,0.310867603596671,0.51772574856114,0.0946591326620714,0.0767475151801173
404,4,0,4,6847.87085,6391.00703333333,3176.79167074005,2554.04475960447,0.36098966683238,0.336905813532742,0.167466500454858,0.134638019180021
501,5,0,1,380867.892091274,0,0,0,1,0,0,0
502,5,0,2,109321.501400835,173665.530951999,64913.8347019179,41571.9525499736,0.28069096454994,0.445898974742965,0.166671026665734,0.106739034041361
503,5,0,3,28074.3786755691,37623.5298333263,11819.8053026172,4395.70495115477,0.342732352032708,0.459308504047855,0.144296325085191,0.0536628188342463
504,5,0,4,9436.54737499235,9613.87835892271,4619.37289785232,2179.96295,0.36505355552866,0.371913618178346,0.178700793167489,0.0843320331255045
601,6,0,1,326550.435609326,0,0,0,1,0,0,0
602,6,0,2,62973.1774816203,96889.5699185247,24007.7413176765,31171.8936635929,0.292840772987376,0.450560344642548,0.111641905431901,0.144956976938175
603,6,0,3,13108.0338299971,20598.1151649856,2893.40140673061,2256.453775,0.337348991686923,0.53011408664945,0.0744647183372665,0.0580722033263602
604,6,0,4,2653.19178911566,4635.96081600346,725.443943333333,2245.647205,0.258589547467904,0.451837298158098,0.070704357592794,0.218868796781204
701,7,0,1,244196.49754801,0,0,0,1,0,0,0
702,7,0,2,44193.9034446816,59018.3183332856,21534.7323116667,10660.1797758568,0.326377955009242,0.435858264247086,0.15903691110587,0.0787268696378015
703,7,0,3,10892.413120176,10093.7587953909,3925.62627422908,2080.22376166667,0.403541948052757,0.373953415329226,0.145436539777872,0.0770680968401459
704,7,0,4,1222.09622833333,2336.32114333333,601.942495,56.38842,0.289819582591068,0.554057530709331,0.142750397718388,0.0133724889812133
801,8,0,1,62011.70427195,0,0,0,1,0,0,0
802,8,0,2,14834.6104416667,19562.1402820621,7492.38221706206,2245.37413333333,0.33612271723692,0.443239124642479,0.169762453775196,0.0508757043454052
803,8,0,3,2486.46449,8810.14579,604.960565,139.214175,0.206503519983949,0.731691976508688,0.0502426182342055,0.011561885273158
804,8,0,4,435.709576666667,2121.63616666667,1684.139925,61.00578,0.10126913252447,0.493118043846091,0.391433648439299,0.0141791751901406
901,9,0,1,468644.033127888,0,0,0,1,0,0,0
902,9,0,2,189372.356842587,153743.840302135,56283.0540940726,42168.8671886781,0.428863291844952,0.348176949118637,0.127461770325516,0.0954979887108955
903,9,0,3,25470.7305215624,33211.2362580037,14156.489660557,7893.83348950306,0.315496197912447,0.411374882181017,0.175351023399647,0.0977778965068879
904,9,0,4,5977.81367194117,12354.4734544952,3870.61855283639,1991.10609765711,0.247078232707206,0.510641788902317,0.159982502634276,0.0822974757562004
1001,10,0,1,222687.130648044,0,0,0,1,0,0,0
1002,10,0,2,19824.2461117818,17693.5323584946,4749.61910442555,727.47123,0.461084000554359,0.411526604229564,0.11046944057441,0.0169199546416675
1003,10,0,3,2520.22485698556,3095.27217666667,562.33121,424.56589,0.381713785328271,0.468810572954157,0.0851708029870275,0.0643048387305445
1004,10,0,4,122.222705,2198.17045166667,2058.80218,0,0.0279098545745696,0.501957616108502,0.470132529316929,0
