"","HHSIZE","JOINT","freq"
"1",2,0,313276.046313333
"2",2,1,47704.9821866667
"3",3,0,160346.306943333
"4",3,1,25325.5984566667
"5",4,0,133000.661915
"6",4,1,28163.581185
"7",5,0,105721.025263333
"8",5,1,26739.1283366667
