"purpose","avgTripLength"
"esco",4.35659315853388
"imain",4.78000980556696
"idisc",5.49283089431115
"jmain",7.42970527956807
"jdisc",6.45965701604498
"atwork",3.41207486889073
"Total",4.91116917542101
