"comp","partysize","freq"
"All Adult",2,49.360127295555
"All Children",2,50
"Mixed",2,24.6556719999399
"Total",2,38.8954718241801
"All Adult",3,0.639872704445012
"All Children",3,0
"Mixed",3,17.4638420555798
"Total",3,7.76635933804303
"All Adult",4,0
"All Children",4,0
"Mixed",4,7.47734791970858
"Total",4,3.16739982669089
"All Adult",5,0
"All Children",5,0
"Mixed",5,0.403138024771736
"Total",5,0.170769011085988
