"tempid1","TOURPURP","IS_INBOUND","TRIP_ID","bin1","bin2","bin3","bin4","p1","p2","p3","p4"
111,1,1,1,717.515266666667,190.6423,446.868673350595,672061.546277412,0.00106548501469809,0.000283097131523394,0.000663584312575007,0.997987833541203
112,1,1,2,24850.6737887253,46402.6906529455,101339.017749172,60638.053627435,0.106549875026121,0.198956411885713,0.434501686684368,0.259992026403798
113,1,1,3,12086.5251326662,28274.7412758563,51599.6087255628,42229.6104902504,0.0900699112640685,0.210706006050317,0.384525091220068,0.314698991465547
114,1,1,4,9632.62379843368,19387.5529522791,38724.8781069391,32072.7047611946,0.0965021037860977,0.194229494093139,0.3879557931856,0.321312608935164
211,2,1,1,0,0,0,143476.926579445,0,0,0,1
212,2,1,2,3177.98758038182,9576.53832396507,14391.2817387179,8609.85512096995,0.0888806788830784,0.267832773431283,0.402489581403971,0.240796966281668
213,2,1,3,688.057121086464,2742.39880705977,6105.34425658107,6554.27409911943,0.0427628306090062,0.170440406842182,0.379447860145083,0.407348902403729
214,2,1,4,987.027036666667,2621.94830674169,4819.92406018187,4206.7427381242,0.0781145133422357,0.207504159846833,0.381454619094483,0.332926707716448
311,3,1,1,0,0,114.579119565579,230230.073826044,0,0,0.000497424698599946,0.9995025753014
312,3,1,2,5893.19303411493,14128.1738981649,35776.1963401333,23840.9222594868,0.0739993106945054,0.177403849455496,0.449232504877341,0.299364334972658
313,3,1,3,3550.68805504304,7685.38993432747,17089.7598048464,17510.3936916309,0.0774646592868205,0.167670632711164,0.372843910828991,0.382020797173025
314,3,1,4,2763.1690195843,4451.46079333333,10598.3689840808,16815.8987408859,0.0797937334436179,0.128547574708764,0.306055628033958,0.48560306381366
411,4,1,1,0,608.19145,13.2166,312107.179477978,0,0.00194479006478929,4.22622060377437e-05,0.998012947729173
412,4,1,2,3796.35307102184,14468.7110986477,38473.4395823706,23819.3246036932,0.0471258119602929,0.179606518621079,0.477587844256137,0.295679825162491
413,4,1,3,2417.0069098842,6514.78937545887,16583.4678066922,13451.8527496607,0.0620268345667783,0.167186846333159,0.42557595097586,0.345210368124203
414,4,1,4,1255.17675836895,4167.67642831287,9805.5139493242,7933.75474480241,0.054190922784538,0.179935001195469,0.423342645366564,0.342531430653429
511,5,1,1,0,0,26.605515,273551.090740443,0,0,9.72503071857074e-05,0.999902749692814
512,5,1,2,5854.72661179954,9220.94193703765,48352.578146717,18896.2651630477,0.0711176596085433,0.112007247038103,0.587341206829941,0.229533886523413
513,5,1,3,2798.825085,4861.38873370708,17453.2768063077,11588.8959556848,0.0762573049260997,0.13245429484587,0.475535201721343,0.315753198506688
514,5,1,4,274.979635,2184.67891734106,7863.95436803184,8733.88939716402,0.0144289440671856,0.114636161703661,0.412643495301866,0.458291398927288
611,6,1,1,0,0,0,230998.114258554,0,0,0,1
612,6,1,2,7342.82983942691,28129.6890172138,40630.0136957576,21348.3595487295,0.0753490263773782,0.288655018037421,0.416928083671051,0.21906787191415
613,6,1,3,4215.61652847473,10197.9165320107,26839.0237062614,9350.6418876866,0.0833073133827558,0.201527112972675,0.53038196042791,0.184783613216659
614,6,1,4,2181.78640680807,4523.69333397961,14151.4010921597,8829.59940996297,0.0734942771576673,0.152382272905524,0.476695147971922,0.297428301964886
711,7,1,1,0,158.6616,62.31361,162731.509778338,0,0.000973667876322077,0.000382403557727025,0.998643928565951
712,7,1,2,2075.26186797826,6586.52812864274,20517.941610693,10467.8417018471,0.0523427209982293,0.166126891986119,0.517508132230431,0.264022254785221
713,7,1,3,2478.14425666667,2253.24505166667,5574.38947332106,6631.0577807559,0.14631683121786,0.133038129249445,0.329128137523207,0.391516902009488
714,7,1,4,1241.41096,3315.41290166667,3702.54659049835,3950.78018166667,0.101670404995686,0.271529238343741,0.303235128012213,0.32356522864836
811,8,1,1,0,0,0,36220.8272916568,0,0,0,1
812,8,1,2,311.537985,1219.95354436436,6570.28475833333,2083.98996166667,0.0305856208922369,0.119770424187821,0.645045703728313,0.204598251191629
813,8,1,3,730.721615,223.596375,2621.79613166667,1377.927375,0.147500099765347,0.0451341344537479,0.529223692096795,0.27814207368411
814,8,1,4,36.77804,166.2103,252.462325,1989.36134666667,0.0150432997811263,0.0679848999460256,0.10326451432472,0.813707285948128
911,9,1,1,295.252382680383,26.20322,1545.58759022397,329519.582542195,0.000890960466571147,7.90714469597999e-05,0.00466400110986817,0.994365966976601
912,9,1,2,6460.84733421359,21519.9777837009,49358.8525694629,21074.9551435633,0.0656492550788885,0.218666443847517,0.50153977258903,0.214144528484564
913,9,1,3,6256.36771278058,8559.11126233635,17774.3166090448,16740.7531933588,0.126825422944242,0.173505291841324,0.360310538794256,0.339358746420178
914,9,1,4,1817.43106833333,4998.0722105178,15533.4571767042,8392.7760580718,0.059119336590752,0.162582624709644,0.50528886583289,0.273009172866714
1011,10,1,1,0,0,67.663975,121065.340501527,0,0,0.000558592394305811,0.999441407605694
1012,10,1,2,1003.60933,3830.56762407208,14187.4561524501,6319.1094040222,0.0396045747113525,0.151162406645274,0.559867420875557,0.249365597767816
1013,10,1,3,1436.18606,668.423696666667,5058.35004305313,4042.7533,0.128165521213988,0.0596502597129121,0.451408134229281,0.360776084843819
1014,10,1,4,206.8172,181.42682,3367.5577943438,2811.57082,0.031491619482418,0.0276254797925179,0.512770933193786,0.428111967531278
