"","PERTYPE","freq"
"1",1,1441911.56530135
"2",2,287196.538993849
"3",3,373514.294845935
"4",4,347528.046605627
"5",5,220060.556968954
"6",6,108473.720002644
"7",7,379704.92382
"8",8,132942.64662
