"id","purpose","freq_dep","freq_arr","freq_dur"
1,"atwork",139.83498,67.663975,46624.5955750025
1,"esc",1760.52055,1757.52805,52515.7225421479
1,"idisc",7302.465312113,471.020971013716,21321.2975542105
1,"imain",272.00416,62.26924,22441.4667049526
1,"jdisc",122.56248,13.01136,1760.64370013817
1,"jmain",0,0,2150.41992333333
1,"sch",0,0,2528.51429665462
1,"Total",44988.8132970178,7583.15124485182,152072.692239378
1,"univ",2451.3563415748,16.271525,1951.15866483622
1,"work",32940.06947333,5195.3861238381,778.873278101852
2,"atwork",336.072902931354,107.077458965677,76063.7405386256
2,"esc",230.680896666667,1142.4405,161962.956172268
2,"idisc",2642.46881528247,346.68594,70617.8081111127
2,"imain",1535.86820693067,0,100377.849827445
2,"jdisc",21.6856,109.55112,7789.02045462305
2,"jmain",0,0,11348.6194268806
2,"sch",0,0,10425.6541049995
2,"Total",38703.7421228522,1918.20058563234,450100.964687955
2,"univ",244.856,0,4587.08877364999
2,"work",33692.109701041,212.445566666667,6928.2272783506
3,"atwork",52.512775,217.250233965677,49615.2702345915
3,"esc",566.803686460814,64.9106,62473.5749214513
3,"idisc",5286.58791187371,2052.60250522397,51656.8482202109
3,"imain",263.102688915718,30.556395,88521.6997478863
3,"jdisc",126.72896,0,12572.386169193
3,"jmain",0,0,12308.426879097
3,"sch",1018.1198268446,0,1484.31330333333
3,"Total",70554.0861037301,3319.90980754025,290705.917248794
3,"univ",4130.69106731364,0,2840.33010868867
3,"work",59109.5391873216,954.590073350595,9233.06766434152
4,"atwork",392.727464658906,116.400796666667,21359.9257946574
4,"esc",4998.0959854475,871.675678853467,23480.8152315919
4,"idisc",7602.45411724422,2658.29209127001,73948.5277133993
4,"imain",1468.99840657657,224.2284,70519.0034682303
4,"jdisc",1161.64386112355,0,11400.3691286275
4,"jmain",0,0,12278.5575479905
4,"sch",10256.429493544,0,2856.230785
4,"Total",124779.800016987,5510.21447012348,228476.992706066
4,"univ",5493.48279068471,0,3506.1416822321
4,"work",93405.967897708,1639.61750333333,9127.42135433641
5,"atwork",2934.06162666667,1162.259255,10459.7274993473
5,"esc",13610.9110232141,1602.03239307531,17710.416247354
5,"idisc",8918.52049920562,4218.44154121943,64871.1130636458
5,"imain",3409.4403674238,318.22235984885,63897.9748907418
5,"jdisc",35.75344,1127.56288112355,14056.9150242421
5,"jmain",171.26017,122.622275,8487.20607487931
5,"sch",43270.3972716812,0,2454.88869
5,"Total",203991.682299089,9909.37277360047,203144.169658857
5,"univ",9693.4105965114,0,10808.6037422192
5,"work",121947.927304386,1358.23206833333,10397.3244264281
6,"atwork",1932.48746166667,1096.61505833333,4450.14462446842
6,"esc",29250.3688114972,8540.88791432544,13489.821503939
6,"idisc",16270.5178130172,4644.85915164267,55943.5253895933
6,"imain",6042.21439460873,483.952350733535,46831.4018040203
6,"jdisc",269.725484816309,59.68654,9275.47538862046
6,"jmain",131.84977830755,0,5708.00949527369
6,"sch",102419.964402021,2411.22995116534,5071.35052271104
6,"Total",348120.053020022,18991.466322867,164103.456290392
6,"univ",30566.8789602308,79.113135,9956.91960478189
6,"work",161236.045913856,1675.12222166667,13376.8079569838
7,"atwork",4665.13962789989,3410.85062077841,2105.33934274797
7,"esc",43091.7003223864,17856.8417868817,7939.38824122897
7,"idisc",16827.5785536421,2768.1234117624,43761.6558306624
7,"imain",10357.7570543527,528.405387027978,31321.0705334116
7,"jdisc",815.310593333333,18.37528,11126.5915121571
