"pertype","tour_purp","tour_rate"
"FT Worker","Escorting",0.101175602210075
"PT Worker","Escorting",0.21433550271552
"Univ Stud","Escorting",0.145520930340579
"Non Worker","Escorting",0.32075138657738
"Retiree","Escorting",0.0586589714527981
"Driv Stud","Escorting",0.0829313955599847
"NonDriv Stud","Escorting",0.132671979043156
"Pre-School","Escorting",0.218410710755315
"All","Escorting",0.145043274303579
"FT Worker","Shopping",0.0750876711498177
"PT Worker","Shopping",0.139010243131729
"Univ Stud","Shopping",0.0814461337713168
"Non Worker","Shopping",0.206267295996654
"Retiree","Shopping",0.208859718564406
"Driv Stud","Shopping",0.0193652988431341
"NonDriv Stud","Shopping",0.0364063883036389
"Pre-School","Shopping",0.0915866787011103
"All","Shopping",0.10345126758314
"FT Worker","Maintenance",0.0634927938144849
"PT Worker","Maintenance",0.124935501444533
"Univ Stud","Maintenance",0.0945324531532877
"Non Worker","Maintenance",0.152318982681078
"Retiree","Maintenance",0.158322123917988
"Driv Stud","Maintenance",0.0850823682228038
"NonDriv Stud","Maintenance",0.0124878207493341
"Pre-School","Maintenance",0.0472861615517874
"All","Maintenance",0.0832464085931397
"FT Worker","EatingOut",0.0643817482984032
"PT Worker","EatingOut",0.0745526869413127
"Univ Stud","EatingOut",0.0798856851523989
"Non Worker","EatingOut",0.0915231895638305
"Retiree","EatingOut",0.059317667237971
"Driv Stud","EatingOut",0.0681610422816692
"NonDriv Stud","EatingOut",0.0215273181420569
"Pre-School","EatingOut",0.0419025239534292
"All","EatingOut",0.0617799344470382
"FT Worker","Visiting",0.0206398134790535
"PT Worker","Visiting",0.0453567752290547
"Univ Stud","Visiting",0.0402065119879234
"Non Worker","Visiting",0.0213293919000038
"Retiree","Visiting",0.00894220305300276
"Driv Stud","Visiting",0.0226448085811627
"NonDriv Stud","Visiting",0.00652298105110921
"Pre-School","Visiting",0.010028368958076
"All","Visiting",0.0203815429563905
"FT Worker","Discretionary",0.0965140121899694
"PT Worker","Discretionary",0.187323040630747
"Univ Stud","Discretionary",0.146894300496915
"Non Worker","Discretionary",0.229591940440646
"Retiree","Discretionary",0.219138980484708
"Driv Stud","Discretionary",0.0846223313403674
"NonDriv Stud","Discretionary",0.0694930282191693
"Pre-School","Discretionary",0.104900206348348
"All","Discretionary",0.132124419824328
"FT Worker","All",0.421291641141804
"PT Worker","All",0.785513750092896
"Univ Stud","All",0.588486014902421
"Non Worker","All",1.02178218715959
"Retiree","All",0.713239664710875
"Driv Stud","All",0.362807244829122
"NonDriv Stud","All",0.279109515508464
"Pre-School","All",0.514114650268066
"All","All",0.546026847707616
