"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9"
"1",2046102.48895682,344952.974175507,188101.788565804,0,13007.7095466667,5500.92209755054,4452.49984561727,53.94744,245.4968
"2",0,372480.45545475,64353.8376886564,0,9239.40352293975,9379.01635574982,4121.96983607927,86.1343,16.2642
"3",0,1139.93327333333,168434.71960963,0,1662.34395,3201.04600296464,1045.79641333333,13.15118,0
"4",67073.0480585128,25705.9530021122,11825.5141316502,20715.9889048974,1454.32897934492,15883.8920290168,977.082013333333,18.40116,111.2358
"5",0,0,0,0,44012.0841152668,478.139022545849,0,0,91.5968
"6",0,0,0,0,0,68123.6319492519,3368.78734449386,22.37516,0
"7",0,0,0,0,0,0,15882.0810116511,0,0
"8",0,0,0,0,0,0,70.67614,77.21998,0
"9",0,0,0,0,0,0,0,0,318.6078
"10",0,13825.3982035476,0,0,120.11688,1987.56711166667,61.96568,0,0
"11",6807.66205027042,4987.12909406917,2034.46030833333,947.900853333333,64.3243866666666,989.88487,524.27998,0,0
