"x"
"Non-Mandatory Tours for Persons with at-least 1 Mandatory Tour"
"PERTYPE","freq_nm","freq"
1,0,714780.804769186
1,1,179885.335751453
1,2,19444.963995698
1,3,3723.42829926149
1,4,366.50964
2,0,88457.0735048753
2,1,25617.8246465976
2,2,5568.91065749709
2,3,1565.4506
2,4,20.57745
3,0,143365.425668303
3,1,37836.6590997512
3,2,14627.1599460141
3,3,1577.25685833333
3,6,515.0285
6,0,63583.6092764125
6,1,12366.1009547842
6,2,857.299
7,0,234757.2201
7,1,42555.82337
7,2,1913.72397
7,3,36.5718333333333
8,0,40120.0714983333
8,1,5438.53832
8,2,327.63928
"x"
"Non-Mandatory Tours for Active Persons with 0 Mandatory Tour"
"PERTYPE","freq_nm","freq"
1,0,60193.4885883784
1,1,109150.685563992
1,2,38685.399553657
1,3,8828.72696490902
1,4,1210.74191272415
1,5,204.63346
2,0,15602.6645771826
2,1,34965.2491629312
2,2,17384.2722528267
2,3,4329.3347364663
2,4,2284.62408387738
2,5,383.38878
3,0,25762.9400603965
3,1,34480.2928825853
3,2,10898.8068761239
3,3,3697.59763260214
3,4,116.088025
3,5,445.61089
3,6,143.055125
4,0,54162.5784655479
4,1,162352.678688696
4,2,50610.933970127
4,3,10876.8847398326
4,4,2331.92438394791
4,5,93.86235
4,6,125.34125
4,7,28.059125
5,0,32196.7153797435
5,1,144079.846421896
5,2,31537.2746139937
5,3,6605.98213917264
5,4,2870.96988666667
5,5,159.566985
6,0,5756.66291284276
6,1,10995.1786172541
6,2,366.574865
6,4,303.54046
7,0,39225.8900716667
7,1,34029.1279433333
7,2,8524.688605
7,3,1030.29151666667
8,0,24637.6469266667
8,1,50280.62904
8,2,13261.2165833333
8,3,2856.99888
8,4,1275.87022
