"","PERTYPE","freq"
"1",1,1101028.62057218
"2",2,188217.424213443
"3",3,253608.682477334
"4",4,253344.884922733
"5",5,193209.852185359
"6",6,91854.7665861266
"7",7,350505.641323333
"8",8,130972.739981667
