"PERTYPE","tour0","tour1","tour2","tour3pl"
"1",1,859066.47311952,261997.7071978,72219.5695798256,25558.9290713957
"2",2,119358.140856857,58003.3343485198,24241.6315207434,15596.6048620421
"3",3,200047.723314765,66751.7997954093,28599.7818214065,9939.46522435952
"4",4,174547.100599545,126263.62965562,52607.1302810562,34887.220005562
"5",5,154431.046220751,122718.489760978,33753.3079454593,9397.27215089128
"6",6,90688.5371458482,25313.7750276727,1609.31046199425,136.503069822342
"7",7,308957.145873333,84656.430635,20561.2226583333,1977.06893333333
"8",8,109637.922815,44686.08211,13291.4186716667,6149.15340333333
