grouped_tour_mode,auto_suff,tours,purpose
All,All,4330498.314823359,Total
DRIVEALONE,All,1742024.788590247,Total
SHARED2,All,938842.7632010597,Total
SHARED3,All,927861.4588698392,Total
WALK,All,495947.5026527777,Total
BIKE,All,65282.789565030565,Total
WALK-TRANSIT,All,58620.44345858439,Total
PNR-TRANSIT,All,4557.200397090634,Total
KNR-TRANSIT,All,12555.36323152418,Total
TNC-TRANSIT,All,179.1126537142125,Total
TAXI,All,3064.34343410283,Total
TNC-REG,All,12186.249846154564,Total
TNC-SHARED,All,0.0,Total
SCHOOLBUS,All,4602.63342841512,Total
ESCOOTER,All,1788.1635876779364,Total
EBIKE,All,4511.826891836025,Total
All,0,112237.34200784458,Total
DRIVEALONE,0,13807.93887735332,Total
SHARED2,0,6404.5521627789785,Total
SHARED3,0,1247.686051538898,Total
WALK,0,32648.184816327062,Total
BIKE,0,1317.3320154626326,Total
WALK-TRANSIT,0,25681.200043903496,Total
PNR-TRANSIT,0,173.69094305011743,Total
KNR-TRANSIT,0,3746.300988386011,Total
TNC-TRANSIT,0,66.2159368921275,Total
TAXI,0,324.276190548646,Total
TNC-REG,0,3615.8763453015295,Total
TNC-SHARED,0,0.0,Total
SCHOOLBUS,0,169.895019270037,Total
ESCOOTER,0,381.6356152965594,Total
EBIKE,0,422.17189411235057,Total
All,1,1320260.9490520607,Total
DRIVEALONE,1,496340.9172173532,Total
SHARED2,1,325189.18490801816,Total
SHARED3,1,304377.16504615155,Total
WALK,1,107970.35871221956,Total
BIKE,1,8513.90859292899,Total
WALK-TRANSIT,1,24065.86919517013,Total
PNR-TRANSIT,1,2247.897357003518,Total
KNR-TRANSIT,1,7028.204889346652,Total
TNC-TRANSIT,1,112.896716822085,Total
TAXI,1,2740.067243554184,Total
TNC-REG,1,5861.832298605265,Total
TNC-SHARED,1,0.0,Total
SCHOOLBUS,1,3914.69624565127,Total
ESCOOTER,1,1268.42376401554,Total
EBIKE,1,803.0614210727493,Total
All,2,2898000.0237634545,Total
DRIVEALONE,2,1231875.9324955405,Total
SHARED2,2,607249.0261302624,Total
SHARED3,2,622236.6077721489,Total
WALK,2,355328.95912423107,Total
BIKE,2,55451.548956638944,Total
WALK-TRANSIT,2,8873.374219510782,Total
PNR-TRANSIT,2,2135.6120970369984,Total
KNR-TRANSIT,2,1780.8573537915172,Total
TNC-TRANSIT,2,0.0,Total
TAXI,2,0.0,Total
