a,sizeTermIndex,logsumIndex,sizeTermCoeff,logsumCoeff
1,13,6,1,1
2,14,6,1,1
3,15,6,1,1
4,16,6,1,1
5,17,6,1,1
6,18,6,1,1
7,19,6,1,1
8,20,6,1,1
9,21,6,1,1
10,22,6,1,1
11,23,6,1,1
12,8,3,1,1
13,8,4,1,1
14,8,5,1,1
