a,mgra,parkarea
773,14536,1
774,14539,1
775,14540,1
776,14541,1
777,14543,1
778,14544,1
779,14545,1
780,14547,1
781,14548,1
782,14555,1
783,14556,1
784,14557,1
785,14570,1
786,14571,1
787,14573,1
788,14574,1
789,14575,1
790,14576,1
791,14577,1
792,14578,1
793,14579,1
794,14580,1
795,14581,1
796,14582,1
797,14583,1
798,14584,1
799,14585,1
800,14586,1
801,14589,1
802,14599,1
803,14645,1
804,14648,1
805,14651,1
806,14652,1
807,14656,1
808,14658,1
809,14659,1
810,14660,1
811,14661,1
812,14662,1
813,15017,1
814,18314,1
815,19026,1
816,19027,1
817,19028,1
818,19030,1
819,19031,1
820,19032,1
821,19033,1
822,19034,1
823,19035,1
824,19036,1
825,19037,1
826,19038,1
827,19039,1
828,19040,1
829,19041,1
830,19042,1
831,19043,1
832,19044,1
833,19045,1
834,19046,1
835,19213,1
836,19316,1
837,19627,1
838,19628,1
839,19957,1
840,22588,1
841,22643,1
842,22651,1
843,22714,1
844,22718,1
845,22719,1
846,22720,1
847,22722,1
848,22723,1
849,22724,1
850,22725,1
851,22729,1
852,22730,1
853,22732,1
854,22733,1
855,22851,1
856,22938,1
857,22939,1
858,2347,2
859,2350,2
860,2351,2
861,2352,2
862,2353,2
863,2354,2
864,2355,2
865,2356,2
866,2357,2
867,2358,2
868,2359,2
869,2360,2
870,2361,2
871,2362,2
872,2363,2
873,2364,2
874,2365,2
875,2366,2
876,2367,2
877,2368,2
878,2369,2
879,2370,2
880,2371,2
881,2372,2
882,2373,2
883,2374,2
884,2375,2
885,2376,2
886,2377,2
887,2378,2
888,2379,2
889,2380,2
890,2381,2
891,2382,2
892,2383,2
893,2384,2
894,2385,2
895,2386,2
896,2420,2
897,2421,2
898,2428,2
899,2429,2
900,2475,2
901,2476,2
902,2477,2
903,2478,2
904,2479,2
905,2506,2
906,2515,2
907,2520,2
908,2521,2
909,2652,2
910,2653,2
911,2654,2
912,2727,2
913,2777,2
914,2800,2
915,2801,2
916,2802,2
917,2803,2
918,2805,2
919,2846,2
920,2847,2
921,2848,2
922,2849,2
923,2850,2
924,2851,2
925,2852,2
926,2853,2
927,2862,2
928,2863,2
929,2864,2
930,2865,2
931,2866,2
932,2867,2
933,2874,2
934,2875,2
935,2876,2
936,2877,2
937,2878,2
938,2879,2
939,2880,2
940,2911,2
941,2912,2
942,2913,2
943,2914,2
944,2915,2
945,2916,2
946,2917,2
947,2918,2
948,2932,2
949,2935,2
950,2936,2
951,2938,2
952,2939,2
953,2940,2
954,2941,2
955,2942,2
956,2943,2
957,2944,2
958,2945,2
959,2979,2
960,2980,2
961,2981,2
962,2982,2
963,2983,2
964,2990,2
965,2992,2
966,2993,2
967,6778,2
968,6781,2
969,6787,2
