model_selector,segment,emp_ag_min,emp_ent,emp_con,emp_educ,emp_gov,emp_hlth,emp_accm,emp_oth,emp_mnf,emp_mil,emp_fin_res_mgm,emp_bus_svcs,emp_food,emp_utl,emp_whl,emp_trn_wrh,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,adultschenrl,hh
tour_od_choice,work,0.3235,0.258,0.499,0.148,0.148,0.148,0.258,0.148,0.499,0.148,0.108,0.148,0.258,0.499,0.499,0.499,0,0,0,0,0,1
tour_od_choice,school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0.934,1,1,1,0
tour_od_choice,shop,0,0.63,0,0.414,0.414,0.414,0.63,0.414,0,0.414,0.138,0,0.63,0,0,0,0,0,0,0,0,0
tour_od_choice,visit,0.1235,0.173,0,0.247,0.247,0.247,0.173,0.247,0,0.247,0.153,0.247,0.173,0,0,0,0,0,0,0,0,1
tour_od_choice,other,0.1235,0.173,0,0.247,0.247,0.247,0.173,0.247,0,0.247,0.153,0.247,0.173,0,0,0,0,0,0,0,0,1
trip,work,0.3235,0.258,0.499,0.148,0.148,0.148,0.258,0.148,0.499,0.148,0.108,0.148,0.258,0.499,0.499,0.499,0,0,0,0,0,1
trip,school,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0.934,1,1,1,0
trip,shop,0,0.63,0,0.414,0.414,0.414,0.63,0.414,0,0.414,0.138,0.207,0.63,0,0,0,0,0,0,0,0,0
trip,visit,0.1235,0.173,0,0.247,0.247,0.247,0.173,0.247,0,0.247,0.153,0.247,0.173,0,0,0,0,0,0,0,0,1
trip,other,0.1235,0.173,0,0.247,0.247,0.247,0.173,0.247,0,0.247,0.153,0.247,0.173,0,0,0,0,0,0,0,0,1
