year,originTaz,destinationTaz,Trips
2012,1,1,0
2012,1,2,0
2012,1,3,0
2012,1,4,0
2012,1,5,0
2012,1,6,170
2012,1,7,17
2012,1,8,25
2012,1,9,38
2012,1,10,1590
2012,1,11,0
2012,1,12,1553
2012,2,1,0
2012,2,2,0
2012,2,3,0
2012,2,4,0
2012,2,5,0
2012,2,6,43
2012,2,7,4
2012,2,8,6
2012,2,9,9
2012,2,10,403
2012,2,11,0
2012,2,12,394
2012,3,1,0
2012,3,2,0
2012,3,3,0
2012,3,4,0
2012,3,5,0
2012,3,6,0
2012,3,7,0
2012,3,8,0
2012,3,9,0
2012,3,10,0
2012,3,11,0
2012,3,12,0
2012,4,1,0
2012,4,2,0
2012,4,3,0
2012,4,4,0
2012,4,5,0
2012,4,6,13
2012,4,7,1
2012,4,8,2
2012,4,9,3
2012,4,10,126
2012,4,11,0
2012,4,12,123
2012,5,1,0
2012,5,2,0
2012,5,3,0
2012,5,4,0
2012,5,5,0
2012,5,6,0
2012,5,7,0
2012,5,8,0
2012,5,9,0
2012,5,10,0
2012,5,11,0
2012,5,12,0
2012,6,1,173
2012,6,2,44
2012,6,3,0
2012,6,4,13
2012,6,5,0
2012,6,6,0
2012,6,7,0
2012,6,8,0
2012,6,9,0
2012,6,10,0
2012,6,11,0
2012,6,12,23
2012,7,1,18
2012,7,2,4
2012,7,3,0
2012,7,4,1
2012,7,5,0
2012,7,6,0
2012,7,7,0
2012,7,8,0
2012,7,9,0
2012,7,10,0
2012,7,11,0
2012,7,12,0
2012,8,1,27
2012,8,2,6
2012,8,3,0
2012,8,4,2
2012,8,5,0
2012,8,6,0
2012,8,7,0
2012,8,8,0
2012,8,9,0
2012,8,10,0
2012,8,11,0
2012,8,12,0
2012,9,1,38
2012,9,2,9
2012,9,3,0
2012,9,4,3
2012,9,5,0
2012,9,6,0
2012,9,7,0
2012,9,8,0
2012,9,9,0
2012,9,10,0
2012,9,11,0
2012,9,12,0
2012,10,1,1614
2012,10,2,409
2012,10,3,0
2012,10,4,128
2012,10,5,0
2012,10,6,0
2012,10,7,0
2012,10,8,0
2012,10,9,0
2012,10,10,0
2012,10,11,0
2012,10,12,1121
2012,11,1,0
2012,11,2,0
2012,11,3,0
2012,11,4,0
2012,11,5,0
2012,11,6,0
2012,11,7,0
2012,11,8,0
2012,11,9,0
2012,11,10,0
2012,11,11,0
2012,11,12,0
2012,12,1,1553
2012,12,2,394
2012,12,3,0
2012,12,4,123
2012,12,5,0
2012,12,6,22
2012,12,7,0
2012,12,8,0
2012,12,9,0
2012,12,10,1106
2012,12,11,0
2012,12,12,0
2014,1,1,0
2014,1,2,0
2014,1,3,0
2014,1,4,0
2014,1,5,0
2014,1,6,173
2014,1,7,18
2014,1,8,26
2014,1,9,38
2014,1,10,1617
2014,1,11,0
2014,1,12,1580
2014,2,1,0
2014,2,2,0
2014,2,3,0
2014,2,4,0
2014,2,5,0
2014,2,6,43
2014,2,7,4
2014,2,8,6
2014,2,9,9
2014,2,10,410
2014,2,11,0
2014,2,12,400
2014,3,1,0
2014,3,2,0
2014,3,3,0
2014,3,4,0
2014,3,5,0
2014,3,6,0
2014,3,7,0
2014,3,8,0
2014,3,9,0
2014,3,10,0
2014,3,11,0
2014,3,12,0
2014,4,1,0
2014,4,2,0
2014,4,3,0
2014,4,4,0
2014,4,5,0
2014,4,6,13
2014,4,7,1
2014,4,8,2
2014,4,9,3
2014,4,10,128
2014,4,11,0
2014,4,12,125
2014,5,1,0
2014,5,2,0
2014,5,3,0
2014,5,4,0
2014,5,5,0
2014,5,6,0
2014,5,7,0
2014,5,8,0
2014,5,9,0
2014,5,10,0
2014,5,11,0
2014,5,12,0
2014,6,1,180
2014,6,2,45
2014,6,3,0
2014,6,4,14
2014,6,5,0
2014,6,6,0
2014,6,7,0
2014,6,8,0
2014,6,9,0
2014,6,10,0
2014,6,11,0
2014,6,12,24
2014,7,1,18
2014,7,2,4
2014,7,3,0
2014,7,4,1
2014,7,5,0
2014,7,6,0
2014,7,7,0
2014,7,8,0
2014,7,9,0
2014,7,10,0
2014,7,11,0
2014,7,12,0
2014,8,1,28
2014,8,2,6
2014,8,3,0
2014,8,4,2
2014,8,5,0
2014,8,6,0
2014,8,7,0
2014,8,8,0
2014,8,9,0
2014,8,10,0
2014,8,11,0
2014,8,12,0
2014,9,1,39
2014,9,2,10
2014,9,3,0
2014,9,4,3
2014,9,5,0
2014,9,6,0
2014,9,7,0
2014,9,8,0
2014,9,9,0
2014,9,10,0
2014,9,11,0
2014,9,12,0
2014,10,1,1666
2014,10,2,422
2014,10,3,0
2014,10,4,132
2014,10,5,0
2014,10,6,0
2014,10,7,0
2014,10,8,0
2014,10,9,0
2014,10,10,0
2014,10,11,0
2014,10,12,1158
2014,11,1,0
2014,11,2,0
2014,11,3,0
2014,11,4,0
2014,11,5,0
2014,11,6,0
2014,11,7,0
2014,11,8,0
2014,11,9,0
2014,11,10,0
2014,11,11,0
2014,11,12,0
2014,12,1,1580
2014,12,2,400
2014,12,3,0
2014,12,4,125
2014,12,5,0
2014,12,6,23
2014,12,7,0
2014,12,8,0
2014,12,9,0
2014,12,10,1125
2014,12,11,0
2014,12,12,0
2015,1,1,0
2015,1,2,0
2015,1,3,0
2015,1,4,0
2015,1,5,0
2015,1,6,174
2015,1,7,18
2015,1,8,26
2015,1,9,39
2015,1,10,1631
2015,1,11,0
2015,1,12,1594
2015,2,1,0
2015,2,2,0
2015,2,3,0
2015,2,4,0
2015,2,5,0
2015,2,6,44
2015,2,7,4
2015,2,8,6
2015,2,9,9
2015,2,10,413
2015,2,11,0
2015,2,12,404
2015,3,1,0
2015,3,2,0
2015,3,3,0
2015,3,4,0
2015,3,5,0
2015,3,6,0
2015,3,7,0
2015,3,8,0
2015,3,9,0
2015,3,10,0
2015,3,11,0
2015,3,12,0
2015,4,1,0
2015,4,2,0
2015,4,3,0
2015,4,4,0
2015,4,5,0
2015,4,6,14
2015,4,7,1
2015,4,8,2
2015,4,9,3
2015,4,10,129
2015,4,11,0
2015,4,12,126
2015,5,1,0
2015,5,2,0
2015,5,3,0
2015,5,4,0
2015,5,5,0
2015,5,6,0
2015,5,7,0
2015,5,8,0
2015,5,9,0
2015,5,10,0
2015,5,11,0
2015,5,12,0
2015,6,1,183
2015,6,2,46
2015,6,3,0
2015,6,4,14
2015,6,5,0
2015,6,6,0
2015,6,7,0
2015,6,8,0
2015,6,9,0
2015,6,10,0
2015,6,11,0
2015,6,12,24
2015,7,1,19
2015,7,2,4
2015,7,3,0
2015,7,4,1
2015,7,5,0
2015,7,6,0
2015,7,7,0
2015,7,8,0
2015,7,9,0
2015,7,10,0
2015,7,11,0
2015,7,12,0
2015,8,1,28
2015,8,2,6
2015,8,3,0
2015,8,4,2
2015,8,5,0
2015,8,6,0
2015,8,7,0
2015,8,8,0
2015,8,9,0
2015,8,10,0
2015,8,11,0
2015,8,12,0
2015,9,1,40
2015,9,2,10
2015,9,3,0
2015,9,4,3
2015,9,5,0
2015,9,6,0
2015,9,7,0
2015,9,8,0
2015,9,9,0
2015,9,10,0
2015,9,11,0
2015,9,12,0
2015,10,1,1693
2015,10,2,429
2015,10,3,0
2015,10,4,134
2015,10,5,0
2015,10,6,0
2015,10,7,0
2015,10,8,0
2015,10,9,0
2015,10,10,0
2015,10,11,0
2015,10,12,1176
2015,11,1,0
2015,11,2,0
2015,11,3,0
2015,11,4,0
2015,11,5,0
2015,11,6,0
2015,11,7,0
2015,11,8,0
2015,11,9,0
2015,11,10,0
2015,11,11,0
2015,11,12,0
2015,12,1,1594
2015,12,2,404
2015,12,3,0
2015,12,4,126
2015,12,5,0
2015,12,6,23
2015,12,7,0
2015,12,8,0
2015,12,9,0
2015,12,10,1135
2015,12,11,0
2015,12,12,0
2016,1,1,0
2016,1,2,0
2016,1,3,0
2016,1,4,0
2016,1,5,0
2016,1,6,176
2016,1,7,18
2016,1,8,26
2016,1,9,39
2016,1,10,1645
2016,1,11,0
2016,1,12,1608
2016,2,1,0
2016,2,2,0
2016,2,3,0
2016,2,4,0
2016,2,5,0
2016,2,6,44
2016,2,7,4
2016,2,8,6
2016,2,9,9
2016,2,10,417
2016,2,11,0
2016,2,12,407
2016,3,1,0
2016,3,2,0
2016,3,3,0
2016,3,4,0
2016,3,5,0
2016,3,6,0
2016,3,7,0
2016,3,8,0
2016,3,9,0
2016,3,10,0
2016,3,11,0
2016,3,12,0
2016,4,1,0
2016,4,2,0
2016,4,3,0
2016,4,4,0
2016,4,5,0
2016,4,6,14
2016,4,7,1
2016,4,8,2
2016,4,9,3
2016,4,10,131
2016,4,11,0
2016,4,12,127
2016,5,1,0
2016,5,2,0
2016,5,3,0
2016,5,4,0
2016,5,5,0
2016,5,6,0
2016,5,7,0
2016,5,8,0
2016,5,9,0
2016,5,10,0
2016,5,11,0
2016,5,12,0
2016,6,1,186
2016,6,2,47
2016,6,3,0
2016,6,4,15
2016,6,5,0
2016,6,6,0
2016,6,7,0
2016,6,8,0
2016,6,9,0
2016,6,10,0
2016,6,11,0
2016,6,12,25
2016,7,1,19
2016,7,2,4
2016,7,3,0
2016,7,4,1
2016,7,5,0
2016,7,6,0
2016,7,7,0
2016,7,8,0
2016,7,9,0
2016,7,10,0
2016,7,11,0
2016,7,12,0
2016,8,1,29
2016,8,2,7
2016,8,3,0
2016,8,4,2
2016,8,5,0
2016,8,6,0
2016,8,7,0
2016,8,8,0
2016,8,9,0
2016,8,10,0
2016,8,11,0
2016,8,12,0
2016,9,1,41
2016,9,2,10
2016,9,3,0
2016,9,4,3
2016,9,5,0
2016,9,6,0
2016,9,7,0
2016,9,8,0
2016,9,9,0
2016,9,10,0
2016,9,11,0
2016,9,12,0
2016,10,1,1720
2016,10,2,436
2016,10,3,0
2016,10,4,136
2016,10,5,0
2016,10,6,0
2016,10,7,0
2016,10,8,0
2016,10,9,0
2016,10,10,0
2016,10,11,0
2016,10,12,1195
2016,11,1,0
2016,11,2,0
2016,11,3,0
2016,11,4,0
2016,11,5,0
2016,11,6,0
2016,11,7,0
2016,11,8,0
2016,11,9,0
2016,11,10,0
2016,11,11,0
2016,11,12,0
2016,12,1,1608
2016,12,2,407
2016,12,3,0
2016,12,4,127
2016,12,5,0
2016,12,6,23
2016,12,7,0
2016,12,8,0
2016,12,9,0
2016,12,10,1144
2016,12,11,0
2016,12,12,0
2017,1,1,0
2017,1,2,0
2017,1,3,0
2017,1,4,0
2017,1,5,0
2017,1,6,177
2017,1,7,18
2017,1,8,27
2017,1,9,39
2017,1,10,1660
2017,1,11,0
2017,1,12,1621
2017,2,1,0
2017,2,2,0
2017,2,3,0
2017,2,4,0
2017,2,5,0
2017,2,6,45
2017,2,7,4
2017,2,8,6
2017,2,9,10
2017,2,10,420
2017,2,11,0
2017,2,12,411
2017,3,1,0
2017,3,2,0
2017,3,3,0
2017,3,4,0
2017,3,5,0
2017,3,6,0
2017,3,7,0
2017,3,8,0
2017,3,9,0
2017,3,10,0
2017,3,11,0
2017,3,12,0
2017,4,1,0
2017,4,2,0
2017,4,3,0
2017,4,4,0
2017,4,5,0
2017,4,6,14
2017,4,7,1
2017,4,8,2
2017,4,9,3
2017,4,10,132
2017,4,11,0
2017,4,12,128
2017,5,1,0
2017,5,2,0
2017,5,3,0
2017,5,4,0
2017,5,5,0
2017,5,6,0
2017,5,7,0
2017,5,8,0
2017,5,9,0
2017,5,10,0
2017,5,11,0
2017,5,12,0
2017,6,1,190
2017,6,2,48
2017,6,3,0
2017,6,4,15
2017,6,5,0
2017,6,6,0
2017,6,7,0
2017,6,8,0
2017,6,9,0
2017,6,10,0
2017,6,11,0
2017,6,12,25
2017,7,1,19
2017,7,2,5
2017,7,3,0
2017,7,4,1
2017,7,5,0
2017,7,6,0
2017,7,7,0
2017,7,8,0
2017,7,9,0
2017,7,10,0
2017,7,11,0
2017,7,12,0
2017,8,1,29
2017,8,2,7
2017,8,3,0
2017,8,4,2
2017,8,5,0
2017,8,6,0
2017,8,7,0
2017,8,8,0
2017,8,9,0
2017,8,10,0
2017,8,11,0
2017,8,12,0
2017,9,1,41
2017,9,2,10
2017,9,3,0
2017,9,4,3
2017,9,5,0
2017,9,6,0
2017,9,7,0
2017,9,8,0
2017,9,9,0
2017,9,10,0
2017,9,11,0
2017,9,12,0
2017,10,1,1748
2017,10,2,443
2017,10,3,0
2017,10,4,139
2017,10,5,0
2017,10,6,0
2017,10,7,0
2017,10,8,0
2017,10,9,0
2017,10,10,0
2017,10,11,0
2017,10,12,1214
2017,11,1,0
2017,11,2,0
2017,11,3,0
2017,11,4,0
2017,11,5,0
2017,11,6,0
2017,11,7,0
2017,11,8,0
2017,11,9,0
2017,11,10,0
2017,11,11,0
2017,11,12,0
2017,12,1,1621
2017,12,2,411
2017,12,3,0
2017,12,4,128
2017,12,5,0
2017,12,6,23
2017,12,7,0
2017,12,8,0
2017,12,9,0
2017,12,10,1154
2017,12,11,0
2017,12,12,0
2020,1,1,0
2020,1,2,0
2020,1,3,0
2020,1,4,0
2020,1,5,0
2020,1,6,182
2020,1,7,19
2020,1,8,27
2020,1,9,40
2020,1,10,1703
2020,1,11,0
2020,1,12,1664
2020,2,1,0
2020,2,2,0
2020,2,3,0
2020,2,4,0
2020,2,5,0
2020,2,6,46
2020,2,7,4
2020,2,8,7
2020,2,9,10
2020,2,10,431
2020,2,11,0
2020,2,12,422
2020,3,1,0
2020,3,2,0
2020,3,3,0
2020,3,4,0
2020,3,5,0
2020,3,6,0
2020,3,7,0
2020,3,8,0
2020,3,9,0
2020,3,10,0
2020,3,11,0
2020,3,12,0
2020,4,1,0
2020,4,2,0
2020,4,3,0
2020,4,4,0
2020,4,5,0
2020,4,6,14
2020,4,7,1
2020,4,8,2
2020,4,9,3
2020,4,10,135
2020,4,11,0
2020,4,12,132
2020,5,1,0
2020,5,2,0
2020,5,3,0
2020,5,4,0
2020,5,5,0
2020,5,6,0
2020,5,7,0
2020,5,8,0
2020,5,9,0
2020,5,10,0
2020,5,11,0
2020,5,12,0
2020,6,1,201
2020,6,2,50
2020,6,3,0
2020,6,4,16
2020,6,5,0
2020,6,6,0
2020,6,7,0
2020,6,8,0
2020,6,9,0
2020,6,10,0
2020,6,11,0
2020,6,12,26
2020,7,1,20
2020,7,2,5
2020,7,3,0
2020,7,4,1
2020,7,5,0
2020,7,6,0
2020,7,7,0
2020,7,8,0
2020,7,9,0
2020,7,10,0
2020,7,11,0
2020,7,12,0
2020,8,1,31
2020,8,2,7
2020,8,3,0
2020,8,4,2
2020,8,5,0
2020,8,6,0
2020,8,7,0
2020,8,8,0
2020,8,9,0
2020,8,10,0
2020,8,11,0
2020,8,12,0
2020,9,1,43
2020,9,2,11
2020,9,3,0
2020,9,4,4
2020,9,5,0
2020,9,6,0
2020,9,7,0
2020,9,8,0
2020,9,9,0
2020,9,10,0
2020,9,11,0
2020,9,12,0
2020,10,1,1834
2020,10,2,465
2020,10,3,0
2020,10,4,145
2020,10,5,0
2020,10,6,0
2020,10,7,0
2020,10,8,0
2020,10,9,0
2020,10,10,0
2020,10,11,0
2020,10,12,1274
2020,11,1,0
2020,11,2,0
2020,11,3,0
2020,11,4,0
2020,11,5,0
2020,11,6,0
2020,11,7,0
2020,11,8,0
2020,11,9,0
2020,11,10,0
2020,11,11,0
2020,11,12,0
2020,12,1,1664
2020,12,2,422
2020,12,3,0
2020,12,4,132
2020,12,5,0
2020,12,6,24
2020,12,7,0
2020,12,8,0
2020,12,9,0
2020,12,10,1184
2020,12,11,0
2020,12,12,0
2023,1,1,0
2023,1,2,0
2023,1,3,0
2023,1,4,0
2023,1,5,0
2023,1,6,187
2023,1,7,19
2023,1,8,28
2023,1,9,41
2023,1,10,1747
2023,1,11,0
2023,1,12,1707
2023,2,1,0
2023,2,2,0
2023,2,3,0
2023,2,4,0
2023,2,5,0
2023,2,6,47
2023,2,7,5
2023,2,8,7
2023,2,9,10
2023,2,10,442
2023,2,11,0
2023,2,12,433
2023,3,1,0
2023,3,2,0
2023,3,3,0
2023,3,4,0
2023,3,5,0
2023,3,6,0
2023,3,7,0
2023,3,8,0
2023,3,9,0
2023,3,10,0
2023,3,11,0
2023,3,12,0
2023,4,1,0
2023,4,2,0
2023,4,3,0
2023,4,4,0
2023,4,5,0
2023,4,6,15
2023,4,7,1
2023,4,8,2
2023,4,9,3
2023,4,10,139
2023,4,11,0
2023,4,12,136
2023,5,1,0
2023,5,2,0
2023,5,3,0
2023,5,4,0
2023,5,5,0
2023,5,6,0
2023,5,7,0
2023,5,8,0
2023,5,9,0
2023,5,10,0
2023,5,11,0
2023,5,12,0
2023,6,1,212
2023,6,2,53
2023,6,3,0
2023,6,4,17
2023,6,5,0
2023,6,6,0
2023,6,7,0
2023,6,8,0
2023,6,9,0
2023,6,10,0
2023,6,11,0
2023,6,12,28
2023,7,1,21
2023,7,2,5
2023,7,3,0
2023,7,4,1
2023,7,5,0
2023,7,6,0
2023,7,7,0
2023,7,8,0
2023,7,9,0
2023,7,10,0
2023,7,11,0
2023,7,12,0
2023,8,1,32
2023,8,2,8
2023,8,3,0
2023,8,4,3
2023,8,5,0
2023,8,6,0
2023,8,7,0
2023,8,8,0
2023,8,9,0
2023,8,10,0
2023,8,11,0
2023,8,12,0
2023,9,1,45
2023,9,2,11
2023,9,3,0
2023,9,4,4
2023,9,5,0
2023,9,6,0
2023,9,7,0
2023,9,8,0
2023,9,9,0
2023,9,10,0
2023,9,11,0
2023,9,12,0
2023,10,1,1925
2023,10,2,488
2023,10,3,0
2023,10,4,153
2023,10,5,0
2023,10,6,0
2023,10,7,0
2023,10,8,0
2023,10,9,0
2023,10,10,0
2023,10,11,0
2023,10,12,1338
2023,11,1,0
2023,11,2,0
2023,11,3,0
2023,11,4,0
2023,11,5,0
2023,11,6,0
2023,11,7,0
2023,11,8,0
2023,11,9,0
2023,11,10,0
2023,11,11,0
2023,11,12,0
2023,12,1,1707
2023,12,2,433
2023,12,3,0
2023,12,4,136
2023,12,5,0
2023,12,6,25
2023,12,7,0
2023,12,8,0
2023,12,9,0
2023,12,10,1215
2023,12,11,0
2023,12,12,0
2025,1,1,0
2025,1,2,0
2025,1,3,0
2025,1,4,0
2025,1,5,0
2025,1,6,190
2025,1,7,19
2025,1,8,28
2025,1,9,42
2025,1,10,1777
2025,1,11,0
2025,1,12,1736
2025,2,1,0
2025,2,2,0
2025,2,3,0
2025,2,4,0
2025,2,5,0
2025,2,6,48
2025,2,7,5
2025,2,8,7
2025,2,9,10
2025,2,10,450
2025,2,11,0
2025,2,12,440
2025,3,1,0
2025,3,2,0
2025,3,3,0
2025,3,4,0
2025,3,5,0
2025,3,6,0
2025,3,7,0
2025,3,8,0
2025,3,9,0
2025,3,10,0
2025,3,11,0
2025,3,12,0
2025,4,1,0
2025,4,2,0
2025,4,3,0
2025,4,4,0
2025,4,5,0
2025,4,6,15
2025,4,7,1
2025,4,8,2
2025,4,9,3
2025,4,10,141
2025,4,11,0
2025,4,12,138
2025,5,1,0
2025,5,2,0
2025,5,3,0
2025,5,4,0
2025,5,5,0
2025,5,6,0
2025,5,7,0
2025,5,8,0
2025,5,9,0
2025,5,10,0
2025,5,11,0
2025,5,12,0
2025,6,1,220
2025,6,2,55
2025,6,3,0
2025,6,4,17
2025,6,5,0
2025,6,6,0
