fromZone,toZone,EETrucks
2,10,81.409616724
2,12,404.653327486
3,10,63.7202627953
3,12,316.726910235
4,6,478.328
6,4,184.182
6,12,727.402
6,3798,3.034
6,4525,3.034
10,2,72.1578954269
10,3,56.4788319168
10,3798,4.276
10,4525,4.276
12,2,413.905048783
12,3,323.968341114
12,6,1179.048
12,3798,13.454
12,4525,13.454
3668,12,0.01
3798,6,6.824
3798,10,31.556
3798,12,155.888
4525,6,6.824
4525,10,31.556
4525,12,155.888
