fromZone,toZone,EETrucks
2,10,107.798873923
2,12,540.944077382
3,10,77.3211359001
3,12,388.004150687
4,6,659.98
6,4,221.83
6,12,1358.296
6,3798,3.756
6,4525,3.756
10,2,97.8654863828
10,3,70.1961931247
10,3798,5.33
10,4525,5.33
12,2,550.877464922
12,3,395.129093463
12,6,1702.944
12,3798,17.414
12,4525,17.414
3668,12,0.01
3798,6,8.906
3798,10,41.792
3798,12,205.698
4525,6,8.906
4525,10,41.792
4525,12,205.698
