fromZone,toZone,EETrucks
2,10,109.520451831
2,12,549.617945499
3,10,78.2603117734
3,12,392.741913056
4,6,667.53
6,4,224.34
6,12,1371.828
6,3798,3.798
6,4525,3.798
10,2,99.4341769637
10,3,71.0529363236
10,3798,5.39
10,4525,5.39
12,2,559.704220367
12,3,399.949288505
12,6,1747.767
12,3798,17.612
12,4525,17.612
3668,12,0.01
3798,6,9.008
3798,10,42.266
3798,12,208.054
4525,6,9.008
4525,10,42.266
4525,12,208.054
