fromZone,toZone,EETrucks
2,10,80.150239041
2,12,397.78558525
3,10,63.3118627835
3,12,314.216734622
4,6,451.444
6,4,182.946
6,12,698.016
6,3798,2.982
6,4525,2.982
10,2,70.79131646
10,3,55.9191110046
10,3798,4.188
10,4525,4.188
12,2,407.144507831
12,3,321.6094864
12,6,1144.824
12,3798,12.992
12,4525,12.992
3668,12,0.01
3798,6,6.572
3798,10,30.278
3798,12,149.394
4525,6,6.572
4525,10,30.278
4525,12,149.394
