fromZone,toZone,EETrucks
2,10,90.7785106997
2,12,452.976705983
3,10,68.1695187859
3,12,340.159844329
4,6,581.396
6,4,195.36
6,12,1030.768
6,3798,3.322
6,4525,3.322
10,2,81.243345374
10,3,61.0091498088
10,3798,4.72
10,4525,4.72
12,2,462.511871308
12,3,347.320213306
12,6,1319.304
12,3798,15.434
12,4525,15.434
3668,12,0.01
3798,6,7.886
3798,10,36.8
3798,12,182.414
4525,6,7.886
4525,10,36.8
4525,12,182.414
