fromZone,toZone,EETrucks
2,10,72.4763174274
2,12,361.371072467
3,10,59.4820486118
3,12,296.580903423
4,6,347.456
6,4,178.326
6,12,575.974
6,3798,2.69
6,4525,2.69
10,2,64.4200675073
10,3,52.8702026131
10,3798,3.74
10,4525,3.74
12,2,369.427322387
12,3,303.192749421
12,6,1008.28
12,3798,10.906
12,4525,10.906
3668,12,0.002
3798,6,5.488
3798,10,24.888
3798,12,122.348
4525,6,5.488
4525,10,24.888
4525,12,122.348
