fromZone,toZone,EETrucks
2,10,75.6880037048
2,12,376.053523458
3,10,61.1786324262
3,12,303.964157569
4,6,386.008
6,4,180.018
6,12,622.302
6,3798,2.81
6,4525,2.81
10,2,66.9087117425
10,3,54.0823285256
10,3798,3.92
10,4525,3.92
12,2,384.83281542
12,3,311.06046147
12,6,1059.44
12,3798,11.718
12,4525,11.718
3668,12,0.006
3798,6,5.904
3798,10,26.944
3798,12,132.624
4525,6,5.904
4525,10,26.944
4525,12,132.624
