fromZone,toZone,EETrucks
2,10,70.8877233678
2,12,354.200014148
3,10,58.684993294
3,12,293.227437241
4,6,328.18
6,4,177.48
6,12,552.81
6,3798,2.63
6,4525,2.63
10,2,63.2037709306
10,3,52.3237691521
10,3798,3.65
10,4525,3.65
12,2,361.883966585
12,3,299.588661383
12,6,982.7
12,3798,10.5
12,4525,10.5
3668,12,0.0
3798,6,5.28
3798,10,23.86
3798,12,117.21
4525,6,5.28
4525,10,23.86
4525,12,117.21
