fromZone,toZone,EETrucks
2,10,39.81
2,12,193.21
3,10,0.0
3,12,0.0
4,6,77.9
6,4,120.58
6,12,230.03
6,3798,1.18
6,4525,1.18
10,2,103.0
10,3,0.0
10,3798,1.57
10,4525,1.57
12,2,567.86
12,3,0.0
12,6,348.43
12,3798,2.92
12,4525,2.92
3668,12,0.0
3798,6,1.77
3798,10,7.0
3798,12,34.36
4525,6,1.77
4525,10,7.0
4525,12,34.36
