fromZone,toZone,EETrucks
2,10,77.3061286887
2,12,383.52179041
3,10,62.06606374
3,12,307.914628414
4,6,405.284
6,4,180.864
6,12,645.466
6,3798,2.87
6,4525,2.87
10,2,68.1737919777
10,3,54.7340681788
10,3798,4.01
10,4525,4.01
12,2,392.654127121
12,3,315.246623975
12,6,1085.02
12,3798,12.124
12,4525,12.124
3668,12,0.008
3798,6,6.112
3798,10,27.972
3798,12,137.762
4525,6,6.112
4525,10,27.972
4525,12,137.762
