depart,arrive,40-per,48-per,convert
3:00 AM,3:30 AM,1,1,4
3:30 AM,4:00 AM,1,2,4
4:00 AM,4:30 AM,1,3,4
4:30 AM,5:00 AM,1,4,4
5:00 AM,5:30 AM,2,5,5
5:30 AM,6:00 AM,3,6,6
6:00 AM,6:30 AM,4,7,7
6:30 AM,7:00 AM,5,8,8
7:00 AM,7:30 AM,6,9,9
7:30 AM,8:00 AM,7,10,10
8:00 AM,8:30 AM,8,11,11
8:30 AM,9:00 AM,9,12,12
9:00 AM,9:30 AM,10,13,13
9:30 AM,10:00 AM,11,14,14
10:00 AM,10:30 AM,12,15,15
10:30 AM,11:00 AM,13,16,16
11:00 AM,11:30 AM,14,17,17
11:30 AM,12:00 PM,15,18,18
12:00 PM,12:30 PM,16,19,19
12:30 PM,1:00 PM,17,20,20
1:00 PM,1:30 PM,18,21,21
1:30 PM,2:00 PM,19,22,22
2:00 PM,2:30 PM,20,23,23
2:30 PM,3:00 PM,21,24,24
3:00 PM,3:30 PM,22,25,25
3:30 PM,4:00 PM,23,26,26
4:00 PM,4:30 PM,24,27,27
4:30 PM,5:00 PM,25,28,28
5:00 PM,5:30 PM,26,29,29
5:30 PM,6:00 PM,27,30,30
6:00 PM,6:30 PM,28,31,31
6:30 PM,7:00 PM,29,32,32
7:00 PM,7:30 PM,30,33,33
7:30 PM,8:00 PM,31,34,34
8:00 PM,8:30 PM,32,35,35
8:30 PM,9:00 PM,33,36,36
9:00 PM,9:30 PM,34,37,37
9:30 PM,10:00 PM,35,38,38
10:00 PM,10:30 PM,36,39,39
10:30 PM,11:00 PM,37,40,40
11:00 PM,11:30 PM,38,41,41
11:30 PM,12:00 AM,39,42,42
12:00 AM,12:30 AM,40,43,43
12:30 AM,1:00 AM,40,44,43
1:00 AM,1:30 AM,40,45,43
1:30 AM,2:00 AM,40,46,43
2:00 AM,2:30 AM,40,47,43
2:30 AM,3:00 AM,40,48,43
