WorkTours,RecreationTours,DiningTours,TotalTours,Percent
1,0,0,1,0.400000000
2,0,0,2,0.013953488
0,1,0,1,0.288372093
1,1,0,2,0.051162791
0,2,0,2,0.013953488
0,0,1,1,0.106976744
1,0,1,2,0.097674419
0,1,1,2,0.027906977
