PartySize,work,recreation,dining
1,0.3094,0.0416,0.1026
2,0.116,0.1235,0.1282
3,0.1823,0.2874,0.3333
4,0.1547,0.2328,0.1667
5,0.0276,0.1704,0.0641
6,0,0.0494,0.0641
7,0.2045,0.0949,0.141
8,0,0,0
9,0,0,0
10,0.0055,0,0
