is_tnc,vehicle_type,passenger_car,LHDT,MHDT,HHDT
TRUE,LCV,0.9118,0.0761,0.0111,0.001
FALSE,LCV,0.5082,0.4248,0.0616,0.0054
FALSE,SUT,0,0.2865,0.4815,0.232
FALSE,MUT,0,0.2307,0.1434,0.6259
