industry_groups,establishment_size_groups,attraction_rate
1,1,0.539423077
2,1,0.612601626
3,1,0.386363636
4,1,0.693367347
5,1,0.856122449
6,1,0.624836601
7,1,0.785388128
8,1,0.573205742
9,1,0.973148148
10,1,0.472916667
11,1,0.508801498
12,1,0.667715827
1,2,0.228548086
2,2,0.288605442
3,2,0.497278912
4,2,0.414745196
5,2,0.584241453
6,2,0.232993197
7,2,0.274081036
8,2,0.282971522
9,2,0.345527211
10,2,0.2263147
11,2,0.214450434
12,2,0.309483454
1,3,0.11773088
2,3,0.248090819
3,3,0.25351434
4,3,0.166637888
5,3,0.262881811
6,3,0.168327367
7,3,0.29617259
8,3,0.145236609
9,3,0.198057534
10,3,0.139877311
11,3,0.144773578
12,3,0.184766333
1,4,0.134189177
2,4,0.106863004
3,4,0.203809524
4,4,0.48841416
5,4,0.11640682
6,4,0.318826921
7,4,0.163100857
8,4,0.088049494
9,4,0.160917023
10,4,0.076032589
11,4,0.10823153
12,4,0.181434939
1,5,0.102164343
2,5,0.10549184
3,5,0.103769687
4,5,0.106027235
5,5,0.05891253
6,5,0.048878978
7,5,0.098414831
8,5,0.053614898
9,5,0.067311884
10,5,0.058805543
11,5,0.076967461
12,5,0.077008678
1,6,0.125
2,6,0.039608922
3,6,0.075471698
4,6,0.056720245
5,6,0.041666667
6,6,0.008298898
7,6,0.046666667
8,6,0.011947303
9,6,0.03436791
10,6,0.054246009
11,6,0.021097046
12,6,0.042788584
1,7,0
2,7,0.022912088
3,7,0
4,7,0.013114754
5,7,0
6,7,0
7,7,0.171875
8,7,0.066666667
9,7,0.008818705
10,7,0.048445513
11,7,0.018531469
12,7,0.034761799
