coefficient_name,value
coef_tour_mode_is_nonmotorized_1out2in,-1.238
coef_tour_mode_is_nonmotorized_1out3in,-1.238
coef_tour_mode_is_nonmotorized_2out0in,-1.238
coef_tour_mode_is_nonmotorized_2out1in,-1.238
coef_tour_mode_is_nonmotorized_2out2in,-1.238
coef_tour_mode_is_nonmotorized_2out3in,-1.238
coef_tour_mode_is_nonmotorized_3out0in,-1.238
coef_tour_mode_is_nonmotorized_3out1in,-1.238
coef_tour_mode_is_nonmotorized_3out2in,-1.238
coef_tour_mode_is_nonmotorized_3out3in,-1.238
coef_alternative_specific_constant_adjustment_0out1in,0.672418263
coef_alternative_specific_constant_adjustment_0out2in,-1.170625248
coef_alternative_specific_constant_adjustment_0out3in,-1.775266416
coef_alternative_specific_constant_adjustment_1out0in,-0.188373349
coef_alternative_specific_constant_adjustment_1out1in,1.069562603
coef_alternative_specific_constant_adjustment_1out2in,0.01301841
coef_alternative_specific_constant_adjustment_2out0in,-2.195477507
coef_abm2_calibration_alternative_specific_constant_adjustment_0out1in,0.249621857
coef_abm2_calibration_alternative_specific_constant_adjustment_0out2in,1.213366055
coef_abm2_calibration_alternative_specific_constant_adjustment_0out3in,2.523717384
coef_abm2_calibration_alternative_specific_constant_adjustment_1out0in,0.310993394
coef_abm2_calibration_alternative_specific_constant_adjustment_1out1in,0.496813548
coef_abm2_calibration_alternative_specific_constant_adjustment_1out2in,0.91250098
coef_abm2_calibration_alternative_specific_constant_adjustment_2out0in,1.588612994
coef_abm2_calibration_alternative_specific_constant_adjustment_2out1in,10.7032541
coef_abm2_calibration_alternative_specific_constant_adjustment_2out2in,8.349517588
