coefficient_name,value
coef_number_of_nonwork_tours_2out2in,-1.20226
coef_number_of_nonwork_tours_2out3in,-1.20226
coef_number_of_nonwork_tours_3out0in,-1.20226
coef_number_of_nonwork_tours_3out1in,-1.20226
coef_number_of_nonwork_tours_3out2in,-1.20226
coef_number_of_nonwork_tours_3out3in,-1.20226
coef_tours_made_by_others_in_household_0out1in,-0.33813
coef_tours_made_by_others_in_household_0out2in,-0.33813
coef_tours_made_by_others_in_household_0out3in,-0.33813
coef_tours_made_by_others_in_household_1out0in,-0.33813
coef_tours_made_by_others_in_household_1out1in,-0.33813
coef_tours_made_by_others_in_household_1out2in,-0.33813
coef_tours_made_by_others_in_household_1out3in,-0.33813
coef_tours_made_by_others_in_household_2out0in,-0.33813
coef_tours_made_by_others_in_household_2out1in,-0.33813
coef_tours_made_by_others_in_household_2out2in,-0.33813
coef_tours_made_by_others_in_household_2out3in,-0.33813
coef_tours_made_by_others_in_household_3out0in,-0.33813
coef_tours_made_by_others_in_household_3out1in,-0.33813
coef_tours_made_by_others_in_household_3out2in,-0.33813
coef_tours_made_by_others_in_household_3out3in,-0.33813
coef_sub_tour_purpose_is_work_0out1in,0.667781
coef_sub_tour_purpose_is_work_0out2in,0.667781
coef_sub_tour_purpose_is_work_0out3in,0.667781
coef_sub_tour_purpose_is_work_1out0in,0.667781
coef_sub_tour_purpose_is_work_1out1in,0.667781
coef_sub_tour_purpose_is_work_1out2in,0.667781
coef_sub_tour_purpose_is_work_1out3in,0.667781
coef_sub_tour_purpose_is_work_2out0in,0.667781
coef_sub_tour_purpose_is_work_2out1in,0.667781
coef_sub_tour_purpose_is_work_2out2in,0.667781
coef_sub_tour_purpose_is_work_2out3in,0.667781
coef_sub_tour_purpose_is_work_3out0in,0.667781
coef_sub_tour_purpose_is_work_3out1in,0.667781
coef_sub_tour_purpose_is_work_3out2in,0.667781
coef_sub_tour_purpose_is_work_3out3in,0.667781
coef_tour_duration_in_hours_0out1in,0.471195
coef_tour_duration_in_hours_0out2in,0.471195
coef_tour_duration_in_hours_0out3in,0.471195
coef_tour_duration_in_hours_1out0in,0.471195
coef_tour_duration_in_hours_1out1in,0.471195
coef_tour_duration_in_hours_1out2in,0.471195
coef_tour_duration_in_hours_1out3in,0.471195
coef_tour_duration_in_hours_2out0in,0.471195
coef_tour_duration_in_hours_2out1in,0.471195
coef_tour_duration_in_hours_2out2in,0.471195
coef_tour_duration_in_hours_2out3in,0.471195
coef_tour_duration_in_hours_3out0in,0.471195
coef_tour_duration_in_hours_3out1in,0.471195
coef_tour_duration_in_hours_3out2in,0.471195
coef_tour_duration_in_hours_3out3in,0.471195
coef_alternative_specific_constant_adjustment_0out1in,4.731525219
coef_alternative_specific_constant_adjustment_0out2in,0.744106772
coef_alternative_specific_constant_adjustment_1out0in,1.974250811
coef_alternative_specific_constant_adjustment_1out1in,1.209787038
coef_alternative_specific_constant_adjustment_1out2in,2.182195588
coef_alternative_specific_constant_adjustment_2out0in,1.046891183
coef_alternative_specific_constant_adjustment_3out0in,1.63372249
coef_abm2_calibration_alternative_specific_constant_adjustment_0out1in,1.054571584
coef_abm2_calibration_alternative_specific_constant_adjustment_0out2in,2.204430863
coef_abm2_calibration_alternative_specific_constant_adjustment_0out3in,3.116527792
coef_abm2_calibration_alternative_specific_constant_adjustment_1out0in,0.46248774
coef_abm2_calibration_alternative_specific_constant_adjustment_1out1in,-0.576299774
coef_abm2_calibration_alternative_specific_constant_adjustment_1out2in,-1.384033008
coef_abm2_calibration_alternative_specific_constant_adjustment_2out0in,1.339066521
coef_abm2_calibration_alternative_specific_constant_adjustment_3out0in,1.927947493
