body_type,fuel_type,vehicle_year,MPG,NewPrice,NumMakes,NumModels,Range,auto_operating_cost,co2gpm
Car,BEV,2011,93.8,44331.89559,3.0,4.0,73.0,10.86829424,0.0
Car,BEV,2012,95.6,54291.33743,5.0,5.0,113.0,10.80807531,0.0
Car,BEV,2013,104.3,59928.48966,9.0,12.0,105.0,10.54631831,0.0
Car,BEV,2014,106.1,50547.30465,10.0,13.0,115.0,10.49752121,0.0
Car,BEV,2015,103.2,63109.22167,10.0,18.0,157.0,10.57697674,0.0
Car,BEV,2016,103.1,74787.61065,11.0,25.0,173.0,10.57979631,0.0
Car,BEV,2017,108.7,65091.20275,13.0,23.0,169.0,10.4298896,0.0
Car,BEV,2018,115.03098584261784,65202.70828428572,13.923076923076923,44.30769230769231,145.639398695536,10.36546280178571,
Car,BEV,2019,116.75645063025709,65202.70828428572,14.846153846153847,65.61538461538461,147.82398967596902,10.302922147738087,
Car,BEV,2020,118.50779738971093,65202.70828428572,15.76923076923077,86.92307692307692,150.04134952110854,10.240381493690478,
Car,BEV,2021,120.28541435055658,65202.70828428572,16.692307692307693,108.23076923076923,152.29196976392515,10.177840839642855,
Car,BEV,2022,122.08969556581492,65202.70828428572,17.615384615384617,129.53846153846155,154.57634931038402,10.115300185595231,
Car,BEV,2023,123.92104099930214,65202.70828428572,18.53846153846154,150.84615384615384,156.89499455003977,10.052759531547622,
Car,BEV,2024,125.77985661429163,65202.70828428572,19.46153846153846,172.15384615384613,159.24841946829034,9.990218877499998,
Car,BEV,2025,127.66655446350602,65202.70828428572,20.384615384615387,193.46153846153845,161.6371457603147,9.927678223452375,
Car,BEV,2026,129.5815527804586,65202.70828428572,21.307692307692307,214.76923076923077,164.06170294671938,9.865137569404752,
Car,BEV,2027,131.52527607216544,65202.70828428572,22.230769230769234,236.07692307692307,166.52262849092014,9.802596915357142,
Car,BEV,2028,133.4981552132479,65202.70828428572,23.153846153846153,257.38461538461536,169.02046791828394,9.740056261309519,
Car,BEV,2029,135.50062754144662,65202.70828428572,24.076923076923077,278.6923076923077,171.55577493705817,9.677515607261896,
Car,BEV,2030,137.53313695456833,65202.70828428572,25.0,300.0,174.12911156111406,9.614974953214286,
Car,BEV,2031,139.59613400888682,65202.70828428572,25.25,297.5,176.74104823453075,9.552434299166663,
Car,BEV,2032,141.6900760190201,65202.70828428572,25.5,295.0,179.39216395804866,9.48989364511904,
Car,BEV,2033,143.8154271593054,65202.70828428572,25.75,292.5,182.08304641741938,9.42735299107143,
Car,BEV,2034,145.97265856669497,65202.70828428572,26.0,290.0,184.81429211368066,9.364812337023807,
Car,BEV,2035,148.16224844519536,65202.70828428572,26.25,287.5,187.58650649538583,9.302271682976183,
Car,BEV,2036,150.3846821718733,65202.70828428572,26.5,285.0,190.4003040928166,9.23973102892856,
Car,BEV,2037,152.64045240445137,65202.70828428572,26.75,282.5,193.25630865420885,9.17719037488095,
Car,BEV,2038,154.93005919051814,65202.70828428572,27.0,280.0,196.15515328402196,9.114649720833327,
Car,BEV,2039,157.2540100783759,65202.70828428572,27.25,277.5,199.09748058328228,9.052109066785704,
Car,BEV,2040,159.61282022955152,65202.70828428572,27.5,275.0,202.08394279203148,8.989568412738095,
Car,BEV,2041,162.00701253299476,65202.70828428572,27.75,272.5,205.11520193391195,8.927027758690471,
Car,BEV,2042,164.43711772098968,65202.70828428572,28.0,270.0,208.1919299629206,8.864487104642848,
Car,BEV,2043,166.9036744868045,65202.70828428572,28.25,267.5,211.3148089123644,8.801946450595239,
Car,BEV,2044,169.40722960410656,65202.70828428572,28.5,265.0,214.48453104604982,8.739405796547615,
Car,BEV,2045,171.94833804816815,65202.70828428572,28.75,262.5,217.70179901174058,8.676865142499992,
Car,BEV,2046,174.52756311889064,65202.70828428572,29.0,260.0,220.96732599691666,8.614324488452368,
Car,BEV,2047,177.145476565674,65202.70828428572,29.25,257.5,224.28183588687037,8.551783834404745,
Car,BEV,2048,179.8026587141591,65202.70828428572,29.5,255.0,227.64606342517342,8.489243180357136,
Car,BEV,2049,182.49969859487146,65202.70828428572,29.75,252.5,231.060754376551,8.426702526309526,
Car,BEV,2050,185.2371940737945,65202.70828428572,30.0,250.0,234.52666569219926,8.364161872261889,
Car,Diesel,1998,33.8,45885.66203,2.0,8.0,0.0,16.54573964,306.26
Car,Diesel,1999,34.5,45290.37855,2.0,8.0,0.0,16.36565217,299.48
Car,Diesel,2000,35.5,45772.94097,1.0,6.0,0.0,16.12070423,288.19
Car,Diesel,2001,35.5,44010.93975,1.0,6.0,0.0,16.12070423,288.19
Car,Diesel,2002,35.6,44034.24182,1.0,8.0,0.0,16.09696629,287.33
Car,Diesel,2003,35.6,44289.27981,1.0,8.0,0.0,16.09696629,287.33
Car,Diesel,2004,32.6,44749.60108,1.0,10.0,0.0,16.87245399,315.61
Car,Diesel,2005,32.0,44218.5867,2.0,13.0,0.0,17.045,321.07
Car,Diesel,2006,32.3,45448.75007,2.0,7.0,0.0,16.9579257,317.06
Car,Diesel,2007,26.0,44308.58881,1.0,1.0,0.0,19.20846154,391.54
Car,Diesel,2008,26.0,42108.12422,1.0,1.0,0.0,19.20846154,391.54
Car,Diesel,2009,30.2,41981.77425,3.0,6.0,0.0,17.60377483,339.1
Car,Diesel,2010,31.4,41559.0992,3.0,8.0,0.0,17.22414013,324.25
