primary_purpose,outbound,depart_range_start,depart_range_end,person_type,work,univ,school,escort,shopping,othmaint,eatout,social,othdiscr
work,True,1,11,PTYPE_FULL,0.136,0,0,0.425,0.089,0.071,0.211,0.01,0.058
work,True,1,11,PTYPE_PART,0.058,0,0,0.515,0.053,0.043,0.215,0.011,0.105
work,True,1,11,PTYPE_UNIVERSITY,0.328,0,0,0.05,0.366,0.171,0.059,0.004,0.023
work,True,12,48,PTYPE_FULL,0.138,0,0,0.161,0.263,0.14,0.192,0.023,0.083
work,True,12,48,PTYPE_PART,0.157,0,0,0.118,0.155,0.169,0.235,0.136,0.03
work,True,12,48,PTYPE_UNIVERSITY,0,0,0,0.076,0.112,0.008,0.662,0.083,0.058
work,True,1,48,PTYPE_DRIVING,0,0,0,0,0,0,1,0,0
univ,True,1,48,PTYPE_FULL,0,0,0,0.705,0.068,0.045,0.078,0.014,0.091
univ,True,1,48,PTYPE_PART,0,0,0,0.364,0.152,0,0.484,0,0
univ,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.455,0.143,0.184,0.104,0.057,0.057
school,True,1,48,PTYPE_DRIVING,0,0,0,0.803,0.054,0.013,0.096,0.035,0
school,True,1,48,PTYPE_SCHOOL,0,0,0,0.63,0.127,0.081,0.065,0.009,0.088
school,True,1,48,PTYPE_PRESCHOOL,0,0,0,0.757,0.1,0.015,0.05,0.031,0.047
escort,True,1,48,PTYPE_FULL,0,0,0,0.621,0.127,0.118,0.075,0.023,0.035
escort,True,1,48,PTYPE_PART,0,0,0,0.565,0.051,0.245,0.119,0.015,0.004
escort,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.238,0.246,0.132,0.147,0.215,0.022
escort,True,1,48,PTYPE_NONWORK,0,0,0,0.626,0.128,0.133,0.066,0.025,0.023
escort,True,1,48,PTYPE_RETIRED,0,0,0,0.547,0.205,0.029,0.079,0.052,0.088
escort,True,1,48,PTYPE_DRIVING,0,0,0,0,0,1,0,0,0
escort,True,1,48,PTYPE_SCHOOL,0,0,0,0.835,0.01,0.064,0.067,0,0.023
escort,True,1,48,PTYPE_PRESCHOOL,0,0,0,0.482,0.065,0.323,0.072,0.006,0.054
shopping,True,1,48,PTYPE_FULL,0,0,0,0.098,0.44,0.176,0.209,0.019,0.057
shopping,True,1,48,PTYPE_PART,0,0,0,0.067,0.411,0.284,0.18,0.018,0.039
shopping,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.144,0.335,0.188,0.075,0.124,0.134
shopping,True,1,48,PTYPE_NONWORK,0,0,0,0.263,0.441,0.137,0.082,0.032,0.045
shopping,True,1,48,PTYPE_RETIRED,0,0,0,0.065,0.45,0.226,0.097,0.021,0.141
shopping,True,1,48,PTYPE_DRIVING,0,0,0,0,0.488,0,0,0.024,0.488
shopping,True,1,48,PTYPE_SCHOOL,0,0,0,0.725,0.12,0.001,0.06,0.001,0.093
shopping,True,1,48,PTYPE_PRESCHOOL,0,0,0,0.356,0.222,0.165,0.089,0.019,0.149
othmaint,True,1,48,PTYPE_FULL,0,0,0,0.153,0.109,0.533,0.104,0.062,0.039
othmaint,True,1,48,PTYPE_PART,0,0,0,0.317,0.187,0.389,0.045,0.015,0.046
othmaint,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.038,0.205,0.416,0.014,0.039,0.287
othmaint,True,1,48,PTYPE_NONWORK,0,0,0,0.104,0.32,0.404,0.069,0.071,0.031
othmaint,True,1,48,PTYPE_RETIRED,0,0,0,0.074,0.237,0.44,0.155,0.07,0.025
othmaint,True,1,48,PTYPE_DRIVING,0,0,0,0.243,0.145,0.612,0,0,0
othmaint,True,1,48,PTYPE_SCHOOL,0,0,0,0.764,0,0.085,0.105,0.046,0
othmaint,True,1,48,PTYPE_PRESCHOOL,0,0,0,0.123,0,0.59,0.09,0.173,0.024
eatout,True,1,48,PTYPE_FULL,0,0,0,0.095,0.197,0.06,0.314,0.212,0.122
eatout,True,1,48,PTYPE_PART,0,0,0,0.175,0.246,0.108,0.274,0.162,0.035
eatout,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.284,0.089,0.011,0.407,0.164,0.046
eatout,True,1,48,PTYPE_NONWORK,0,0,0,0.26,0.285,0.108,0.232,0.082,0.034
eatout,True,1,48,PTYPE_RETIRED,0,0,0,0.13,0.25,0.379,0.142,0.04,0.059
eatout,True,1,48,PTYPE_DRIVING,0,0,0,0,1,0,0,0,0
eatout,True,1,48,PTYPE_SCHOOL,0,0,0,0.546,0,0.137,0.262,0,0.055
eatout,True,1,48,PTYPE_PRESCHOOL,0,0,0,0.359,0.181,0.282,0.07,0.06,0.048
social,True,1,48,PTYPE_FULL,0,0,0,0.27,0.078,0.068,0.156,0.313,0.115
social,True,1,48,PTYPE_PART,0,0,0,0.148,0.107,0.012,0.28,0.412,0.041
social,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.054,0.212,0,0.321,0.403,0.01
social,True,1,48,PTYPE_NONWORK,0,0,0,0.241,0.221,0.042,0.098,0.191,0.207
social,True,1,48,PTYPE_RETIRED,0,0,0,0.049,0.182,0.131,0.327,0.284,0.026
social,True,1,48,PTYPE_DRIVING,0,0,0,0.613,0,0,0,0.387,0
social,True,1,48,PTYPE_SCHOOL,0,0,0,0.124,0.013,0.03,0,0.834,0
social,True,1,48,PTYPE_PRESCHOOL,0,0,0,0.29,0.416,0,0.254,0.009,0.032
othdiscr,True,1,48,PTYPE_FULL,0,0,0,0.151,0.115,0.132,0.184,0.047,0.371
othdiscr,True,1,48,PTYPE_PART,0,0,0,0.365,0.137,0.054,0.047,0.053,0.343
othdiscr,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.062,0.185,0.084,0.198,0.054,0.417
othdiscr,True,1,48,PTYPE_NONWORK,0,0,0,0.211,0.191,0.14,0.122,0.036,0.3
othdiscr,True,1,48,PTYPE_RETIRED,0,0,0,0.073,0.222,0.149,0.107,0.026,0.423
othdiscr,True,1,48,PTYPE_DRIVING,0,0,0,0,0,0,0.717,0,0.283
othdiscr,True,1,48,PTYPE_SCHOOL,0,0,0,0.331,0.046,0.007,0.202,0.065,0.348
othdiscr,True,1,48,PTYPE_PRESCHOOL,0,0,0,0.275,0.131,0.161,0.064,0.006,0.363
atwork,True,1,48,PTYPE_FULL,0,0,0,0.114,0.082,0.148,0.553,0.096,0.007
atwork,True,1,48,PTYPE_PART,0,0,0,0.114,0.082,0.148,0.553,0.096,0.007
atwork,True,1,48,PTYPE_UNIVERSITY,0,0,0,0.114,0.082,0.148,0.553,0.096,0.007
atwork,True,1,48,PTYPE_DRIVING,0,0,0,0.114,0.082,0.148,0.553,0.096,0.007
work,False,1,23,PTYPE_FULL,0,0,0,0.21,0.26,0.154,0.185,0.03,0.16
work,False,1,23,PTYPE_PART,0,0,0,0.233,0.422,0.107,0.134,0.039,0.066
work,False,1,23,PTYPE_UNIVERSITY,0,0,0,0.365,0.216,0.187,0.164,0.033,0.034
work,False,24,48,PTYPE_FULL,0,0,0,0.106,0.217,0.055,0.368,0.208,0.047
work,False,24,48,PTYPE_PART,0,0,0,0.232,0.136,0.12,0.361,0.103,0.046
work,False,24,48,PTYPE_UNIVERSITY,0,0,0,0.017,0.133,0,0.684,0.14,0.026
work,False,1,48,PTYPE_DRIVING,0,0,0,0.911,0.045,0,0.045,0,0
univ,False,1,48,PTYPE_FULL,0,0,0,0.337,0.148,0.114,0.214,0.056,0.131
univ,False,1,48,PTYPE_PART,0,0,0,0.096,0.355,0.056,0.288,0.205,0
univ,False,1,48,PTYPE_UNIVERSITY,0,0,0,0.212,0.221,0.075,0.186,0.077,0.23
school,False,1,48,PTYPE_DRIVING,0,0,0,0.382,0.041,0.015,0.123,0.035,0.404
school,False,1,48,PTYPE_SCHOOL,0,0,0,0.42,0.129,0.087,0.14,0.031,0.194
school,False,1,48,PTYPE_PRESCHOOL,0,0,0,0.291,0.214,0.073,0.134,0.019,0.269
escort,False,1,48,PTYPE_FULL,0,0,0,0.459,0.249,0.054,0.191,0.023,0.024
escort,False,1,48,PTYPE_PART,0,0,0,0.289,0.52,0.013,0.138,0.029,0.011
escort,False,1,48,PTYPE_UNIVERSITY,0,0,0,0.41,0.39,0.137,0.059,0.003,0.001
escort,False,1,48,PTYPE_NONWORK,0,0,0,0.337,0.296,0.129,0.124,0.097,0.017
escort,False,1,48,PTYPE_RETIRED,0,0,0,0.78,0.094,0.02,0.079,0.013,0.014
escort,False,1,48,PTYPE_DRIVING,0,0,0,0.493,0.247,0.005,0.255,0,0
escort,False,1,48,PTYPE_SCHOOL,0,0,0,0.489,0.222,0.101,0.159,0.01,0.019
escort,False,1,48,PTYPE_PRESCHOOL,0,0,0,0.295,0.244,0.102,0.213,0.079,0.067
shopping,False,1,48,PTYPE_FULL,0,0,0,0.044,0.564,0.041,0.238,0.069,0.044
shopping,False,1,48,PTYPE_PART,0,0,0,0.083,0.563,0.101,0.185,0.003,0.064
shopping,False,1,48,PTYPE_UNIVERSITY,0,0,0,0.212,0.511,0.073,0.177,0.004,0.023
shopping,False,1,48,PTYPE_NONWORK,0,0,0,0.086,0.466,0.106,0.257,0.052,0.033
shopping,False,1,48,PTYPE_RETIRED,0,0,0,0.112,0.529,0.191,0.118,0.007,0.043
shopping,False,1,48,PTYPE_DRIVING,0,0,0,0.025,0.051,0.026,0.898,0,0
shopping,False,1,48,PTYPE_SCHOOL,0,0,0,0.082,0.26,0.004,0.654,0.002,0
shopping,False,1,48,PTYPE_PRESCHOOL,0,0,0,0.177,0.541,0.066,0.121,0.067,0.028
othmaint,False,1,48,PTYPE_FULL,0,0,0,0.129,0.323,0.294,0.193,0.034,0.026
othmaint,False,1,48,PTYPE_PART,0,0,0,0.012,0.282,0.244,0.407,0.034,0.02
othmaint,False,1,48,PTYPE_UNIVERSITY,0,0,0,0.159,0.263,0.086,0.33,0.129,0.034
othmaint,False,1,48,PTYPE_NONWORK,0,0,0,0.124,0.378,0.166,0.198,0.057,0.077
othmaint,False,1,48,PTYPE_RETIRED,0,0,0,0.02,0.532,0.204,0.169,0.057,0.018
othmaint,False,1,48,PTYPE_DRIVING,0,0,0,0,0.368,0.364,0.249,0,0.019
othmaint,False,1,48,PTYPE_SCHOOL,0,0,0,0.309,0.483,0.056,0.056,0,0.095
othmaint,False,1,48,PTYPE_PRESCHOOL,0,0,0,0.444,0.18,0.163,0.205,0.008,0
eatout,False,1,48,PTYPE_FULL,0,0,0,0.047,0.375,0.087,0.243,0.091,0.156
eatout,False,1,48,PTYPE_PART,0,0,0,0.276,0.226,0.119,0.312,0.053,0.014
eatout,False,1,48,PTYPE_UNIVERSITY,0,0,0,0.502,0.153,0.039,0.142,0.016,0.147
eatout,False,1,48,PTYPE_NONWORK,0,0,0,0.058,0.499,0.066,0.114,0.019,0.244
eatout,False,1,48,PTYPE_RETIRED,0,0,0,0.066,0.506,0.11,0.174,0.073,0.071
eatout,False,1,48,PTYPE_DRIVING,0,0,0,0,1,0,0,0,0
eatout,False,1,48,PTYPE_SCHOOL,0,0,0,0,0.194,0.068,0.063,0.062,0.612
eatout,False,1,48,PTYPE_PRESCHOOL,0,0,0,0.08,0.149,0.076,0.153,0,0.542
social,False,1,48,PTYPE_FULL,0,0,0,0.112,0.418,0.054,0.182,0.233,0
social,False,1,48,PTYPE_PART,0,0,0,0.52,0.337,0.021,0.02,0.102,0
