coefficient_name,value,constrain
coef_dEmpDen_dTran_atwork,0,F
coef_female_sr2_atwork,0,F
coef_female_sr3p_atwork,0,F
coef_female_tran_atwork,0,F
coef_female_nmot_atwork,0,F
coef_size2_sr2_atwork,0,F
coef_size2_sr3p_atwork,0,F
coef_size3_sr2_atwork,0,F
coef_size3_sr3p_atwork,0,F
coef_size4p_sr2_atwork,0,F
coef_size4p_sr3p_atwork,0,F
coef_bikeLogsum_atwork,0.06717,F
coef_walkTime_atwork,-0.15926,F
#,,
coef_calib_civt5max10sovdistski_KNR_TRANSIT_work,1,F
coef_calib_civt5max10sovdistski_TNC_TRANSIT_work,1,F
coef_calib_civtmax200133sovdist_WALK_TRANSIT_work,1,F
coef_calib_civtmax4525sovdistsk_PNR_TRANSIT_work,1,F
coef_calib_tourbike_DRIVEALONE_work,-999,F
coef_calib_tourbike_SHARED2_work,-999,F
coef_calib_tourbike_SHARED3_work,-999,F
coef_calib_tourbike_WALK_work,-20,F
coef_calib_tourbike_BIKE_work,-0.45,F
coef_calib_tourbike_WALK_TRANSIT_work,-999,F
coef_calib_tourbike_PNR_TRANSIT_work,-999,F
coef_calib_tourbike_KNR_TRANSIT_work,-999,F
coef_calib_tourbike_TNC_TRANSIT_work,-999,F
coef_calib_tourbike_TAXI_work,-999,F
coef_calib_tourbike_TNC_SINGLE_work,-999,F
coef_calib_tourbike_TNC_SHARED_work,-999,F
coef_calib_tourda_SHARED2_work,-999,F
coef_calib_tourda_SHARED3_work,-999,F
coef_calib_tourda_WALK_work,-999,F
coef_calib_tourda_BIKE_work,-999,F
coef_calib_tourda_WALK_TRANSIT_work,-999,F
coef_calib_tourda_PNR_TRANSIT_work,-999,F
coef_calib_tourda_KNR_TRANSIT_work,-999,F
coef_calib_tourda_TNC_TRANSIT_work,-999,F
coef_calib_tourda_TAXI_work,-999,F
coef_calib_tourda_TNC_SINGLE_work,-999,F
coef_calib_tourda_TNC_SHARED_work,-999,F
coef_calib_tourknr_DRIVEALONE_work,-3996,F
coef_calib_tourknr_SHARED2_work,3.206724072,F
coef_calib_tourknr_SHARED3_work,2.371212584,F
coef_calib_tourknr_WALK_work,3.88459523,F
coef_calib_tourknr_BIKE_work,-999,F
coef_calib_tourknr_WALK_TRANSIT_work,15.5746,F
coef_calib_tourknr_PNR_TRANSIT_work,-999,F
coef_calib_tourknr_KNR_TRANSIT_work,1.14,F
coef_calib_tourknr_TNC_TRANSIT_work,-999,F
coef_calib_tourknrtotstops0_DRIVEALONE_work,-999,F
coef_calib_tourknrtotstops0_SHARED2_work,-1,F
coef_calib_tourknrtotstops0_SHARED3_work,-1,F
coef_calib_tourknrtotstops0_WALK_work,-1,F
coef_calib_tourknrtotstops0_BIKE_work,-999,F
coef_calib_tourknrtotstops0_WALK_TRANSIT_work,-1,F
coef_calib_tourknrtotstops0_PNR_TRANSIT_work,-999,F
coef_calib_tourknrfirstofmultip_DRIVEALONE_work,-999,F
coef_calib_tourknrfirstofmultip_BIKE_work,-999,F
coef_calib_tourknrfirstofmultip_PNR_TRANSIT_work,-999,F
coef_calib_tourknrlastofmultipl_DRIVEALONE_work,-999,F
coef_calib_tourknrlastofmultipl_BIKE_work,-999,F
coef_calib_tourknrlastofmultipl_PNR_TRANSIT_work,-999,F
coef_calib_tourmaas_DRIVEALONE_work,-999,F
coef_calib_tourmaas_SHARED2_work,-1.26,F
coef_calib_tourmaas_SHARED3_work,-1.83,F
coef_calib_tourmaas_WALK_work,3.29,F
coef_calib_tourmaas_BIKE_work,-999,F
coef_calib_tourmaas_WALK_TRANSIT_work,-999,F
coef_calib_tourmaas_PNR_TRANSIT_work,-999,F
coef_calib_tourmaas_KNR_TRANSIT_work,-999,F
coef_calib_tourmaas_TNC_TRANSIT_work,-999,F
coef_calib_tourmaas_TAXI_work,-0.06,F
coef_calib_tourmaas_TNC_SINGLE_work,2.75,F
coef_calib_tourmaas_TNC_SHARED_work,0.89,F
coef_calib_tourpnr_DRIVEALONE_work,2.306054249,F
coef_calib_tourpnr_SHARED2_work,2.109169591,F
coef_calib_tourpnr_SHARED3_work,1.526,F
coef_calib_tourpnr_WALK_work,0.92600338,F
coef_calib_tourpnr_BIKE_work,-3996,F
coef_calib_tourpnr_WALK_TRANSIT_work,8.109380657,F
coef_calib_tourpnr_PNR_TRANSIT_work,-0.03,F
coef_calib_tourpnr_KNR_TRANSIT_work,-999,F
coef_calib_tourpnr_TNC_TRANSIT_work,-999,F
coef_calib_tourpnr_TAXI_work,-999,F
coef_calib_tourpnr_TNC_SINGLE_work,-999,F
coef_calib_tourpnr_TNC_SHARED_work,-999,F
coef_calib_tourpnrtotstops0_DRIVEALONE_work,-10,F
coef_calib_tourpnrtotstops0_SHARED2_work,-999,F
coef_calib_tourpnrtotstops0_SHARED3_work,-999,F
coef_calib_tourpnrtotstops0_WALK_work,-999,F
coef_calib_tourpnrtotstops0_BIKE_work,-999,F
coef_calib_tourpnrtotstops0_WALK_TRANSIT_work,-999,F
coef_calib_tourpnrtotstops0_KNR_TRANSIT_work,-999,F
coef_calib_tourpnrtotstops0_TNC_TRANSIT_work,-999,F
coef_calib_tourpnrfirstofmultip_BIKE_work,-999,F
coef_calib_tourpnrfirstofmultip_KNR_TRANSIT_work,-999,F
coef_calib_tourpnrfirstofmultip_TNC_TRANSIT_work,-999,F
coef_calib_tourpnrlastofmultipl_BIKE_work,-999,F
coef_calib_tourpnrlastofmultipl_KNR_TRANSIT_work,-999,F
coef_calib_tourpnrlastofmultipl_TNC_TRANSIT_work,-999,F
coef_calib_tours2_DRIVEALONE_work,2.109956338,F
coef_calib_tours2_SHARED2_work,-0.05,F
coef_calib_tours2_SHARED3_work,-999,F
coef_calib_tours2_WALK_work,1.958373917,F
coef_calib_tours2_BIKE_work,-999,F
coef_calib_tours2_WALK_TRANSIT_work,-999,F
coef_calib_tours2_PNR_TRANSIT_work,-999,F
coef_calib_tours2_KNR_TRANSIT_work,-999,F
coef_calib_tours2_TNC_TRANSIT_work,-999,F
coef_calib_tours2_TAXI_work,-999,F
coef_calib_tours2_TNC_SINGLE_work,-999,F
coef_calib_tours2_TNC_SHARED_work,-999,F
coef_calib_tours2totstops0_DRIVEALONE_work,-3.2003,F
coef_calib_tours2totstops0_SHARED3_work,-999,F
coef_calib_tours2totstops0_WALK_work,-3.2003,F
coef_calib_tours2totstops0_BIKE_work,-999,F
coef_calib_tours2totstops0_WALK_TRANSIT_work,-999,F
coef_calib_tours2totstops0_PNR_TRANSIT_work,-999,F
coef_calib_tours2totstops0_KNR_TRANSIT_work,-999,F
coef_calib_tours2totstops0_TNC_TRANSIT_work,-999,F
