coefficient_name,value
coef_maintenance_accessibility_0out2in,0.14
coef_maintenance_accessibility_0out3in,0.14
coef_maintenance_accessibility_1out0in,0.14
coef_maintenance_accessibility_1out1in,0.14
coef_maintenance_accessibility_1out2in,0.14
coef_maintenance_accessibility_1out3in,0.14
coef_maintenance_accessibility_2out0in,0.14
coef_maintenance_accessibility_2out1in,0.14
coef_maintenance_accessibility_2out2in,0.14
coef_maintenance_accessibility_2out3in,0.14
coef_maintenance_accessibility_3out0in,0.14
coef_maintenance_accessibility_3out1in,0.14
coef_maintenance_accessibility_3out2in,0.14
coef_maintenance_accessibility_3out3in,0.14
coef_joint_tour_0out1in,-0.225
coef_joint_tour_1out0in,-0.225
coef_alternative_specific_constant_adjustment_0out1in,-0.437770073
coef_alternative_specific_constant_adjustment_0out2in,0.243256235
coef_alternative_specific_constant_adjustment_0out3in,0.237224785
coef_alternative_specific_constant_adjustment_1out0in,0.292105106
coef_alternative_specific_constant_adjustment_1out1in,0.210812294
coef_alternative_specific_constant_adjustment_1out2in,0.117016988
coef_alternative_specific_constant_adjustment_1out3in,0.677140572
coef_alternative_specific_constant_adjustment_2out0in,0.213323339
coef_alternative_specific_constant_adjustment_2out1in,0.277617939
coef_alternative_specific_constant_adjustment_2out2in,-0.055774174
coef_alternative_specific_constant_adjustment_2out3in,-1.916644378
coef_alternative_specific_constant_adjustment_3out0in,0.335659524
coef_alternative_specific_constant_adjustment_3out1in,0.071492034
coef_alternative_specific_constant_adjustment_3out2in,-0.091102479
coef_alternative_specific_constant_adjustment_3out3in,0.197919936
coef_asc_for_joint_tour_total_stops_1_0out1in,-0.431428909
coef_asc_for_joint_tour_total_stops_1_1out0in,-0.431428909
coef_asc_for_joint_tour_total_stops_2_0out2in,-0.089884295
coef_asc_for_joint_tour_total_stops_2_1out1in,-0.089884295
coef_asc_for_joint_tour_total_stops_2_2out0in,-0.089884295
coef_asc_for_joint_tour_total_stops_3_0out3in,-0.132717756
coef_asc_for_joint_tour_total_stops_3_1out2in,-0.132717756
coef_asc_for_joint_tour_total_stops_3_2out1in,-0.132717756
coef_asc_for_joint_tour_total_stops_3_3out0in,-0.132717756
coef_asc_for_joint_tour_total_stops_4_1out3in,-0.957376489
coef_asc_for_joint_tour_total_stops_4_2out2in,-0.957376489
coef_asc_for_joint_tour_total_stops_4_3out1in,-0.957376489
coef_asc_for_joint_tour_total_stops_5_2out3in,-0.979356651
coef_asc_for_joint_tour_total_stops_5_3out2in,-0.979356651
coef_asc_for_joint_tour_total_stops_6_3out3in,0
coef_abm2_calibration_alternative_specific_constant_adjustment_0out1in,0.789160447
coef_abm2_calibration_alternative_specific_constant_adjustment_0out2in,0.910697446
coef_abm2_calibration_alternative_specific_constant_adjustment_0out3in,1.396945937
coef_abm2_calibration_alternative_specific_constant_adjustment_1out0in,0.650098497
coef_abm2_calibration_alternative_specific_constant_adjustment_1out1in,0.878505277
coef_abm2_calibration_alternative_specific_constant_adjustment_1out2in,1.104266847
coef_abm2_calibration_alternative_specific_constant_adjustment_1out3in,1.192639065
coef_abm2_calibration_alternative_specific_constant_adjustment_2out0in,1.218027569
coef_abm2_calibration_alternative_specific_constant_adjustment_2out1in,1.195232824
coef_abm2_calibration_alternative_specific_constant_adjustment_2out2in,1.295793887
coef_abm2_calibration_alternative_specific_constant_adjustment_2out3in,4.114901862
coef_abm2_calibration_alternative_specific_constant_adjustment_3out0in,1.483425065
coef_abm2_calibration_alternative_specific_constant_adjustment_3out1in,1.42602575
coef_abm2_calibration_alternative_specific_constant_adjustment_3out2in,1.025108801
coef_abm2_calibration_alternative_specific_constant_adjustment_3out3in,2.824962781
coef_abm2_calibration_alternative_specific_constant_adjustment_j_0out1in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_j_0out2in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_j_0out3in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_j_1out0in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_j_1out1in,0.3
coef_abm2_calibration_alternative_specific_constant_adjustment_j_1out2in,0.3
