coefficient_name,value,constrain
coef_age1624_bike_univ,0.0,F
coef_age4155_bike_univ,-0.73111,F
coef_age5664_bike_univ,-0.64352,F
coef_age65pl_bike_univ,-1.54867,F
coef_female_bike_univ,-1.19364,F
coef_inc100plus_bike_univ,0.641381,F
coef_LUnorm_bike_univ,0.083266,F
coef_oMlCoast_bike_univ,0.0,F
coef_oMlCoast2p_bike_univ,0.0,F
coef_oMlCoast5p_bike_univ,0.0,F
coef_ageund16_walk_univ,2.188395,F
coef_age1624_walk_univ,1.430593,F
coef_age4155_walk_univ,-0.43207,F
coef_age5664_walk_univ,-0.51999,F
coef_age65pl_walk_univ,-0.83162,F
coef_female_walk_univ,0.0,F
coef_inc60100_walk_univ,-0.20839,F
coef_LUnorm_walk_univ,0.009309,F
coef_dEmpNorm_walk_univ,0.099811,F
coef_hhsize2_sr2_univ,1.871179646,F
coef_hhsize2_sr3p_univ,1.871179646,F
coef_hhsize3_sr2_univ,1.871179646,F
coef_hhsize3_sr3p_univ,1.871179646,F
coef_hhsize4p_sr2_univ,2.426268851,F
coef_hhsize4p_sr3p_univ,2.426268851,F
coef_oMix_nmot_school,0.0,F
coef_oMix_wTran_school,0.0,F
coef_oIntDen_nmot_school,0.002951,F
coef_oIntDen_wTran_school,0.0,F
coef_dEmpDen_nmot_school,0.0,F
coef_dEmpDen_wTran_school,0.0,F
coef_dEmpDen_dTran_school,0.0,F
coef_age0105_schb_school,0.0,F
coef_age0105_nmot_school,-1.16217,F
coef_age0105_tran_school,-6.49996,F
coef_age0612_schb_school,1.448589,F
coef_age0612_nmot_school,-0.57675,F
coef_age0612_tran_school,-4.5987,F
coef_age1315_schb_school,1.296494,F
coef_age1315_nmot_school,0.687165,F
coef_age1315_tran_school,-1.18344,F
coef_female_sr2_school,0.370191,F
coef_female_sr3p_school,0.326161,F
coef_female_tran_school,0.609312,F
coef_female_nmot_school,0.0,F
coef_female_schb_school,0.0,F
coef_ageund16_bike_school,0.0,F
coef_age1624_bike_school,0.0,F
coef_age4155_bike_school,-1.16978,F
coef_age5664_bike_school,-1.02963,F
coef_age65pl_bike_school,-2.47787,F
coef_female_bike_school,-1.90983,F
coef_inc100plus_bike_school,1.026209,F
coef_LUnorm_bike_school,0.133225,F
coef_oMlCoast_bike_school,-2.27229,F
coef_oMlCoast2p_bike_school,2.136121,F
coef_oMlCoast5p_bike_school,0.127301,F
coef_ageund16_walk_school,3.371151,F
coef_age1624_walk_school,2.126636,F
coef_age4155_walk_school,-0.76078,F
coef_age5664_walk_school,-0.90034,F
coef_age65pl_walk_school,-1.38069,F
coef_female_walk_school,0.0,F
coef_inc60100_walk_school,-0.35622,F
coef_LUnorm_walk_school,0.701592,F
coef_dEmpNorm_walk_school,0.191664,F
coef_hhsize2_sr2_school,0.0,F
coef_hhsize2_sr3p_school,0.0,F
coef_hhsize3_sr2_school,0.66814,F
coef_hhsize3_sr3p_school,0.66814,F
coef_hhsize4p_sr2_school,0.41147,F
coef_hhsize4p_sr3p_school,2.09725,F
coef_oMix_nmot_maint,0.145634,F
coef_oMix_wTran_maint,0.0,F
coef_oIntDen_nmot_maint,0.0,F
coef_oIntDen_wTran_maint,0.0,F
coef_dEmpDen_nmot_maint,0.0,F
coef_dEmpDen_wTran_maint,0.0,F
coef_dEmpDen_dTran_maint,0.0,F
coef_age1624_sr2_maint,0.0,F
coef_age1624_sr3p_maint,0.0,F
coef_age1624_nmot_maint,0.0,F
coef_age1624_tran_maint,1.621112,F
coef_age4155_sr2_maint,-0.82262,F
coef_age4155_sr3p_maint,-1.93552,F
coef_age4155_nmot_maint,-1.34146,F
coef_age4155_tran_maint,-1.39312,F
coef_age5664_sr2_maint,-0.95497,F
coef_age5664_sr3p_maint,-2.16777,F
coef_age5664_nmot_maint,-1.3422,F
coef_age5664_tran_maint,-1.46184,F
coef_age65pl_sr2_maint,-1.06222,F
coef_age65pl_sr3p_maint,-2.1471,F
coef_age65pl_nmot_maint,-2.32071,F
coef_age65pl_tran_maint,-2.86495,F
coef_female_sr2_maint,0.323867,F
coef_female_sr3p_maint,0.34258,F
coef_female_tran_maint,0.0,F
coef_female_nmot_maint,0.0,F
coef_ageund16_bike_maint,0.0,F
coef_age1624_bike_maint,0.0,F
coef_age4155_bike_maint,-0.68811,F
coef_age5664_bike_maint,-0.60566,F
coef_age65pl_bike_maint,-1.45757,F
coef_female_bike_maint,-1.12343,F
coef_inc100plus_bike_maint,0.603652,F
coef_LUnorm_bike_maint,0.078368,F
coef_oMlCoast_bike_maint,-1.33664,F
coef_oMlCoast2p_bike_maint,1.256542,F
coef_oMlCoast5p_bike_maint,0.074883,F
coef_ageund16_walk_maint,1.98303,F
coef_age1624_walk_maint,1.250962,F
coef_age4155_walk_maint,-0.44752,F
coef_age5664_walk_maint,-0.52961,F
coef_age65pl_walk_maint,-0.81217,F
coef_female_walk_maint,0.0,F
coef_inc60100_walk_maint,-0.20954,F
coef_LUnorm_walk_maint,0.412701,F
coef_dEmpNorm_walk_maint,0.112744,F
coef_hhsize2_sr2_maint,0.0,F
coef_hhsize2_sr3p_maint,-1.679852226,F
coef_hhsize3_sr2_maint,0.488088852,F
coef_hhsize3_sr3p_maint,-1.335043303,F
coef_hhsize4p_sr2_maint,0.308239564,F
coef_hhsize4p_sr3p_maint,0.585684607,F
coef_oMix_nmot_disc,0.172434,F
coef_oMix_wTran_disc,0.0,F
coef_oIntDen_nmot_disc,0.005711,F
coef_oIntDen_wTran_disc,0.0,F
coef_dEmpDen_nmot_disc,0.0,F
coef_dEmpDen_wTran_disc,0.0,F
coef_dEmpDen_dTran_disc,0.0,F
coef_age1624_sr2_disc,-0.51961,F
coef_age1624_sr3p_disc,-1.31632,F
coef_age1624_nmot_disc,-0.5557,F
coef_age1624_tran_disc,1.063749,F
coef_age4155_sr2_disc,-1.04157,F
coef_age4155_sr3p_disc,-1.21044,F
coef_age4155_nmot_disc,-1.14969,F
coef_age4155_tran_disc,-0.48434,F
coef_age5664_sr2_disc,-0.84295,F
coef_age5664_sr3p_disc,-0.96503,F
coef_age5664_nmot_disc,-0.97814,F
coef_age5664_tran_disc,-1.0845,F
coef_age65pl_sr2_disc,-0.89435,F
coef_age65pl_sr3p_disc,-1.11463,F
coef_age65pl_nmot_disc,-1.69155,F
coef_age65pl_tran_disc,-2.49829,F
coef_female_sr2_disc,0.261989,F
coef_female_sr3p_disc,0.273571,F
coef_female_tran_disc,-0.23309,F
coef_female_nmot_disc,0.0,F
coef_beachParkBikeConstant,0.7,F
coef_ageund16_bike_disc,0.0,F
coef_age1624_bike_disc,0.0,F
coef_age4155_bike_disc,-0.77985,F
coef_age5664_bike_disc,-0.68642,F
coef_age65pl_bike_disc,-1.65192,F
coef_female_bike_disc,-1.27322,F
coef_inc100plus_bike_disc,0.684139,F
coef_LUnorm_bike_disc,0.088817,F
coef_oMlCoast_bike_disc,-1.51486,F
coef_oMlCoast2p_bike_disc,1.424081,F
coef_oMlCoast5p_bike_disc,0.084867,F
coef_ageund16_walk_disc,2.247434,F
coef_age1624_walk_disc,1.417757,F
coef_age4155_walk_disc,-0.50719,F
coef_age5664_walk_disc,-0.60023,F
coef_age65pl_walk_disc,-0.92046,F
coef_female_walk_disc,0.0,F
coef_inc60100_walk_disc,-0.23748,F
coef_LUnorm_walk_disc,0.467728,F
coef_dEmpNorm_walk_disc,0.127776,F
