Vehicle Body Type,Vehicle Age,Vehicle Fuel Type,Tour Mode,freq
Van,3,PEV,Drive Alone,319.0
Van,4,Diesel,Drive Alone,585.0
Van,4,Gas,Drive Alone,48329.0
Van,4,Hybrid,Drive Alone,626.0
Van,4,PEV,Drive Alone,556.0
Van,5,BEV,Drive Alone,1.0
Van,5,Diesel,Drive Alone,543.0
Van,5,Gas,Drive Alone,43288.0
Van,5,Hybrid,Drive Alone,501.0
Van,5,PEV,Drive Alone,325.0
Van,6,Diesel,Drive Alone,506.0
Van,6,Gas,Drive Alone,37733.0
Van,6,Hybrid,Drive Alone,476.0
Van,6,PEV,Drive Alone,314.0
Van,7,BEV,Drive Alone,3.0
Van,7,Diesel,Drive Alone,455.0
Van,7,Gas,Drive Alone,36898.0
Van,7,Hybrid,Drive Alone,461.0
Van,7,PEV,Drive Alone,712.0
Van,8,Diesel,Drive Alone,433.0
Van,8,Gas,Drive Alone,23552.0
Van,8,Hybrid,Drive Alone,321.0
Van,8,PEV,Drive Alone,595.0
non_hh_veh,non_hh_veh,non_hh_veh,Drive Alone,232881.0
0,0,0,Drive Alone,409115.0
Pickup,1,BEV,Drive Alone,0.0
Pickup,4,BEV,Drive Alone,0.0
Pickup,5,BEV,Drive Alone,0.0
Van,6,BEV,Drive Alone,0.0
Van,8,BEV,Drive Alone,0.0
Van,4,BEV,Drive Alone,0.0
0,0,0,Drive Alone,409115.0
Car,1,BEV,Shared Ride 2,2066.0
Car,1,Diesel,Shared Ride 2,3414.0
Car,1,Gas,Shared Ride 2,238888.0
Car,1,Hybrid,Shared Ride 2,9226.0
Car,1,PEV,Shared Ride 2,1692.0
Car,2,BEV,Shared Ride 2,1519.0
Car,2,Diesel,Shared Ride 2,3304.0
Car,2,Gas,Shared Ride 2,279025.0
Car,2,Hybrid,Shared Ride 2,11440.0
Car,2,PEV,Shared Ride 2,1214.0
Car,3,BEV,Shared Ride 2,1656.0
Car,3,Diesel,Shared Ride 2,6480.0
Car,3,Gas,Shared Ride 2,265391.0
Car,3,Hybrid,Shared Ride 2,11052.0
Car,3,PEV,Shared Ride 2,2058.0
Car,4,BEV,Shared Ride 2,1487.0
Car,4,Diesel,Shared Ride 2,5720.0
Car,4,Gas,Shared Ride 2,255772.0
Car,4,Hybrid,Shared Ride 2,12131.0
Car,4,PEV,Shared Ride 2,3374.0
Car,5,BEV,Shared Ride 2,533.0
Car,5,Diesel,Shared Ride 2,3380.0
Car,5,Gas,Shared Ride 2,223844.0
Car,5,Hybrid,Shared Ride 2,10615.0
Car,5,PEV,Shared Ride 2,999.0
Car,6,BEV,Shared Ride 2,334.0
Car,6,Diesel,Shared Ride 2,2076.0
Car,6,Gas,Shared Ride 2,174831.0
Car,6,Hybrid,Shared Ride 2,6189.0
Car,6,PEV,Shared Ride 2,835.0
Car,7,BEV,Shared Ride 2,381.0
Car,7,Diesel,Shared Ride 2,2337.0
Car,7,Gas,Shared Ride 2,168521.0
Car,7,Hybrid,Shared Ride 2,5428.0
Car,7,PEV,Shared Ride 2,1031.0
Car,8,BEV,Shared Ride 2,5.0
Car,8,Diesel,Shared Ride 2,1962.0
Car,8,Gas,Shared Ride 2,148869.0
Car,8,Hybrid,Shared Ride 2,3440.0
Car,8,PEV,Shared Ride 2,379.0
Car-AV,1,BEV,Shared Ride 2,10141.0
Car-AV,1,PEV,Shared Ride 2,4899.0
Car-AV,2,BEV,Shared Ride 2,11005.0
Car-AV,2,PEV,Shared Ride 2,5256.0
Car-AV,3,BEV,Shared Ride 2,9859.0
Car-AV,3,PEV,Shared Ride 2,5079.0
Car-AV,4,BEV,Shared Ride 2,8237.0
Car-AV,4,PEV,Shared Ride 2,4733.0
Car-AV,5,BEV,Shared Ride 2,6954.0
Car-AV,5,PEV,Shared Ride 2,4029.0
Car-AV,6,BEV,Shared Ride 2,5057.0
Car-AV,6,PEV,Shared Ride 2,3119.0
Car-AV,7,BEV,Shared Ride 2,5553.0
Car-AV,7,PEV,Shared Ride 2,3506.0
Car-AV,8,BEV,Shared Ride 2,4606.0
Car-AV,8,PEV,Shared Ride 2,3159.0
Motorcycle,1,BEV,Shared Ride 2,21.0
Motorcycle,1,Diesel,Shared Ride 2,15.0
Motorcycle,1,Gas,Shared Ride 2,520.0
Motorcycle,1,Hybrid,Shared Ride 2,2.0
Motorcycle,1,PEV,Shared Ride 2,4.0
Motorcycle,2,BEV,Shared Ride 2,21.0
Motorcycle,2,Diesel,Shared Ride 2,18.0
Motorcycle,2,Gas,Shared Ride 2,623.0
Motorcycle,2,Hybrid,Shared Ride 2,11.0
Motorcycle,2,PEV,Shared Ride 2,7.0
Motorcycle,3,BEV,Shared Ride 2,12.0
Motorcycle,3,Diesel,Shared Ride 2,11.0
