Vehicle Body Type,Vehicle Age,Vehicle Fuel Type,Tour Mode,freq
SUV,4,Diesel,Shared Ride 3+,4896.0
SUV,4,Gas,Shared Ride 3+,183144.0
SUV,4,Hybrid,Shared Ride 3+,6722.0
SUV,4,PEV,Shared Ride 3+,518.0
SUV,5,BEV,Shared Ride 3+,189.0
SUV,5,Diesel,Shared Ride 3+,3316.0
SUV,5,Gas,Shared Ride 3+,161060.0
SUV,5,Hybrid,Shared Ride 3+,6089.0
SUV,5,PEV,Shared Ride 3+,238.0
SUV,6,BEV,Shared Ride 3+,194.0
SUV,6,Diesel,Shared Ride 3+,1611.0
SUV,6,Gas,Shared Ride 3+,124674.0
SUV,6,Hybrid,Shared Ride 3+,5179.0
SUV,6,PEV,Shared Ride 3+,281.0
SUV,7,Diesel,Shared Ride 3+,1571.0
SUV,7,Gas,Shared Ride 3+,133664.0
SUV,7,Hybrid,Shared Ride 3+,6918.0
SUV,7,PEV,Shared Ride 3+,653.0
SUV,8,BEV,Shared Ride 3+,1.0
SUV,8,Diesel,Shared Ride 3+,1557.0
SUV,8,Gas,Shared Ride 3+,110901.0
SUV,8,Hybrid,Shared Ride 3+,5248.0
SUV,8,PEV,Shared Ride 3+,567.0
Van,1,BEV,Shared Ride 3+,9.0
Van,1,Diesel,Shared Ride 3+,1003.0
Van,1,Gas,Shared Ride 3+,38805.0
Van,1,Hybrid,Shared Ride 3+,995.0
Van,1,PEV,Shared Ride 3+,743.0
Van,2,Diesel,Shared Ride 3+,1064.0
Van,2,Gas,Shared Ride 3+,42206.0
Van,2,Hybrid,Shared Ride 3+,1086.0
Van,2,PEV,Shared Ride 3+,215.0
Van,3,Diesel,Shared Ride 3+,1184.0
Van,3,Gas,Shared Ride 3+,63835.0
Van,3,Hybrid,Shared Ride 3+,1008.0
Van,3,PEV,Shared Ride 3+,488.0
Van,4,Diesel,Shared Ride 3+,982.0
Van,4,Gas,Shared Ride 3+,75993.0
Van,4,Hybrid,Shared Ride 3+,984.0
Van,4,PEV,Shared Ride 3+,963.0
Van,5,BEV,Shared Ride 3+,0.0
Van,5,Diesel,Shared Ride 3+,850.0
Van,5,Gas,Shared Ride 3+,66674.0
Van,5,Hybrid,Shared Ride 3+,744.0
Van,5,PEV,Shared Ride 3+,559.0
Van,6,Diesel,Shared Ride 3+,834.0
Van,6,Gas,Shared Ride 3+,56948.0
Van,6,Hybrid,Shared Ride 3+,736.0
Van,6,PEV,Shared Ride 3+,475.0
Van,7,BEV,Shared Ride 3+,3.0
Van,7,Diesel,Shared Ride 3+,725.0
Van,7,Gas,Shared Ride 3+,53627.0
Van,7,Hybrid,Shared Ride 3+,695.0
Van,7,PEV,Shared Ride 3+,1050.0
Van,8,Diesel,Shared Ride 3+,635.0
Van,8,Gas,Shared Ride 3+,33968.0
Van,8,Hybrid,Shared Ride 3+,496.0
Van,8,PEV,Shared Ride 3+,879.0
non_hh_veh,non_hh_veh,non_hh_veh,Shared Ride 3+,224056.0
0,0,0,Shared Ride 3+,409115.0
Pickup,1,BEV,Shared Ride 3+,0.0
Pickup,4,BEV,Shared Ride 3+,0.0
Pickup,5,BEV,Shared Ride 3+,0.0
Van,6,BEV,Shared Ride 3+,2.0
Van,8,BEV,Shared Ride 3+,1.0
Van,4,BEV,Shared Ride 3+,1.0
0,0,0,Shared Ride 3+,409115.0
Car,1,BEV,Chosen Tour Mode,1600.0
Car,1,Diesel,Chosen Tour Mode,2557.0
Car,1,Gas,Chosen Tour Mode,177972.0
Car,1,Hybrid,Chosen Tour Mode,6765.0
Car,1,PEV,Chosen Tour Mode,1299.0
Car,2,BEV,Chosen Tour Mode,1209.0
Car,2,Diesel,Chosen Tour Mode,2547.0
Car,2,Gas,Chosen Tour Mode,207272.0
Car,2,Hybrid,Chosen Tour Mode,8644.0
Car,2,PEV,Chosen Tour Mode,866.0
Car,3,BEV,Chosen Tour Mode,1325.0
Car,3,Diesel,Chosen Tour Mode,4973.0
Car,3,Gas,Chosen Tour Mode,197760.0
Car,3,Hybrid,Chosen Tour Mode,8169.0
Car,3,PEV,Chosen Tour Mode,1519.0
Car,4,BEV,Chosen Tour Mode,1106.0
Car,4,Diesel,Chosen Tour Mode,4377.0
Car,4,Gas,Chosen Tour Mode,189118.0
Car,4,Hybrid,Chosen Tour Mode,9152.0
Car,4,PEV,Chosen Tour Mode,2590.0
Car,5,BEV,Chosen Tour Mode,413.0
Car,5,Diesel,Chosen Tour Mode,2525.0
Car,5,Gas,Chosen Tour Mode,165267.0
Car,5,Hybrid,Chosen Tour Mode,7923.0
Car,5,PEV,Chosen Tour Mode,778.0
Car,6,BEV,Chosen Tour Mode,270.0
Car,6,Diesel,Chosen Tour Mode,1540.0
Car,6,Gas,Chosen Tour Mode,128615.0
Car,6,Hybrid,Chosen Tour Mode,4670.0
Car,6,PEV,Chosen Tour Mode,651.0
Car,7,BEV,Chosen Tour Mode,297.0
Car,7,Diesel,Chosen Tour Mode,1732.0
Car,7,Gas,Chosen Tour Mode,123586.0
Car,7,Hybrid,Chosen Tour Mode,3918.0
Car,7,PEV,Chosen Tour Mode,762.0
Car,8,BEV,Chosen Tour Mode,5.0
Car,8,Diesel,Chosen Tour Mode,1479.0
Car,8,Gas,Chosen Tour Mode,108992.0
Car,8,Hybrid,Chosen Tour Mode,2610.0
Car,8,PEV,Chosen Tour Mode,272.0
Car-AV,1,BEV,Chosen Tour Mode,7531.0
Car-AV,1,PEV,Chosen Tour Mode,3602.0
Car-AV,2,BEV,Chosen Tour Mode,8267.0
Car-AV,2,PEV,Chosen Tour Mode,3902.0
Car-AV,3,BEV,Chosen Tour Mode,7401.0
Car-AV,3,PEV,Chosen Tour Mode,3801.0
Car-AV,4,BEV,Chosen Tour Mode,6013.0
Car-AV,4,PEV,Chosen Tour Mode,3385.0
Car-AV,5,BEV,Chosen Tour Mode,5256.0
Car-AV,5,PEV,Chosen Tour Mode,2998.0
Car-AV,6,BEV,Chosen Tour Mode,3673.0
Car-AV,6,PEV,Chosen Tour Mode,2329.0
Car-AV,7,BEV,Chosen Tour Mode,4057.0
Car-AV,7,PEV,Chosen Tour Mode,2586.0
Car-AV,8,BEV,Chosen Tour Mode,3473.0
Car-AV,8,PEV,Chosen Tour Mode,2350.0
Motorcycle,1,BEV,Chosen Tour Mode,16.0
Motorcycle,1,Diesel,Chosen Tour Mode,7.0
Motorcycle,1,Gas,Chosen Tour Mode,457.0
Motorcycle,1,Hybrid,Chosen Tour Mode,8.0
Motorcycle,1,PEV,Chosen Tour Mode,0.0
Motorcycle,2,BEV,Chosen Tour Mode,15.0
Motorcycle,2,Diesel,Chosen Tour Mode,7.0
Motorcycle,2,Gas,Chosen Tour Mode,594.0
Motorcycle,2,Hybrid,Chosen Tour Mode,9.0
Motorcycle,2,PEV,Chosen Tour Mode,4.0
Motorcycle,3,BEV,Chosen Tour Mode,14.0
Motorcycle,3,Diesel,Chosen Tour Mode,10.0
Motorcycle,3,Gas,Chosen Tour Mode,603.0
Motorcycle,3,Hybrid,Chosen Tour Mode,11.0
Motorcycle,3,PEV,Chosen Tour Mode,5.0
Motorcycle,4,BEV,Chosen Tour Mode,20.0
Motorcycle,4,Diesel,Chosen Tour Mode,11.0
Motorcycle,4,Gas,Chosen Tour Mode,532.0
Motorcycle,4,Hybrid,Chosen Tour Mode,7.0
Motorcycle,4,PEV,Chosen Tour Mode,14.0
Motorcycle,5,BEV,Chosen Tour Mode,14.0
Motorcycle,5,Diesel,Chosen Tour Mode,7.0
Motorcycle,5,Gas,Chosen Tour Mode,523.0
Motorcycle,5,Hybrid,Chosen Tour Mode,11.0
Motorcycle,5,PEV,Chosen Tour Mode,5.0
Motorcycle,6,BEV,Chosen Tour Mode,10.0
Motorcycle,6,Diesel,Chosen Tour Mode,3.0
Motorcycle,6,Gas,Chosen Tour Mode,339.0
Motorcycle,6,Hybrid,Chosen Tour Mode,6.0
Motorcycle,6,PEV,Chosen Tour Mode,7.0
Motorcycle,7,BEV,Chosen Tour Mode,21.0
Motorcycle,7,Diesel,Chosen Tour Mode,8.0
Motorcycle,7,Gas,Chosen Tour Mode,396.0
Motorcycle,7,Hybrid,Chosen Tour Mode,7.0
Motorcycle,7,PEV,Chosen Tour Mode,8.0
Motorcycle,8,BEV,Chosen Tour Mode,16.0
Motorcycle,8,Diesel,Chosen Tour Mode,12.0
Motorcycle,8,Gas,Chosen Tour Mode,379.0
Motorcycle,8,Hybrid,Chosen Tour Mode,10.0
Motorcycle,8,PEV,Chosen Tour Mode,9.0
Pickup,1,Diesel,Chosen Tour Mode,2418.0
Pickup,1,Gas,Chosen Tour Mode,40714.0
Pickup,1,Hybrid,Chosen Tour Mode,1606.0
Pickup,1,PEV,Chosen Tour Mode,154.0
Pickup,2,Diesel,Chosen Tour Mode,2812.0
Pickup,2,Gas,Chosen Tour Mode,42188.0
Pickup,2,Hybrid,Chosen Tour Mode,1861.0
Pickup,2,PEV,Chosen Tour Mode,72.0
Pickup,3,Diesel,Chosen Tour Mode,1461.0
Pickup,3,Gas,Chosen Tour Mode,36789.0
Pickup,3,Hybrid,Chosen Tour Mode,457.0
Pickup,3,PEV,Chosen Tour Mode,149.0
Pickup,4,Diesel,Chosen Tour Mode,1141.0
Pickup,4,Gas,Chosen Tour Mode,36936.0
Pickup,4,Hybrid,Chosen Tour Mode,420.0
Pickup,4,PEV,Chosen Tour Mode,314.0
Pickup,5,Diesel,Chosen Tour Mode,374.0
Pickup,5,Gas,Chosen Tour Mode,33426.0
Pickup,5,Hybrid,Chosen Tour Mode,1512.0
Pickup,5,PEV,Chosen Tour Mode,149.0
Pickup,6,BEV,Chosen Tour Mode,0.0
Pickup,6,Diesel,Chosen Tour Mode,308.0
Pickup,6,Gas,Chosen Tour Mode,34189.0
Pickup,6,Hybrid,Chosen Tour Mode,1145.0
Pickup,6,PEV,Chosen Tour Mode,176.0
Pickup,7,Diesel,Chosen Tour Mode,592.0
Pickup,7,Gas,Chosen Tour Mode,37641.0
Pickup,7,Hybrid,Chosen Tour Mode,1224.0
Pickup,7,PEV,Chosen Tour Mode,404.0
Pickup,8,BEV,Chosen Tour Mode,1.0
Pickup,8,Diesel,Chosen Tour Mode,264.0
Pickup,8,Gas,Chosen Tour Mode,33121.0
Pickup,8,Hybrid,Chosen Tour Mode,1004.0
Pickup,8,PEV,Chosen Tour Mode,274.0
SUV,1,BEV,Chosen Tour Mode,2320.0
SUV,1,Diesel,Chosen Tour Mode,2137.0
SUV,1,Gas,Chosen Tour Mode,138920.0
SUV,1,Hybrid,Chosen Tour Mode,3802.0
SUV,1,PEV,Chosen Tour Mode,684.0
SUV,2,BEV,Chosen Tour Mode,1133.0
SUV,2,Diesel,Chosen Tour Mode,4482.0
SUV,2,Gas,Chosen Tour Mode,149440.0
SUV,2,Hybrid,Chosen Tour Mode,4563.0
SUV,2,PEV,Chosen Tour Mode,437.0
SUV,3,BEV,Chosen Tour Mode,1.0
SUV,3,Diesel,Chosen Tour Mode,3745.0
SUV,3,Gas,Chosen Tour Mode,143582.0
SUV,3,Hybrid,Chosen Tour Mode,4794.0
SUV,3,PEV,Chosen Tour Mode,358.0
SUV,4,BEV,Chosen Tour Mode,301.0
SUV,4,Diesel,Chosen Tour Mode,3417.0
SUV,4,Gas,Chosen Tour Mode,128321.0
SUV,4,Hybrid,Chosen Tour Mode,4706.0
SUV,4,PEV,Chosen Tour Mode,338.0
SUV,5,BEV,Chosen Tour Mode,150.0
SUV,5,Diesel,Chosen Tour Mode,2332.0
SUV,5,Gas,Chosen Tour Mode,114262.0
SUV,5,Hybrid,Chosen Tour Mode,4321.0
SUV,5,PEV,Chosen Tour Mode,157.0
SUV,6,BEV,Chosen Tour Mode,173.0
SUV,6,Diesel,Chosen Tour Mode,1129.0
SUV,6,Gas,Chosen Tour Mode,89021.0
SUV,6,Hybrid,Chosen Tour Mode,3687.0
SUV,6,PEV,Chosen Tour Mode,218.0
SUV,7,Diesel,Chosen Tour Mode,1149.0
SUV,7,Gas,Chosen Tour Mode,96100.0
SUV,7,Hybrid,Chosen Tour Mode,4985.0
SUV,7,PEV,Chosen Tour Mode,457.0
SUV,8,BEV,Chosen Tour Mode,0.0
SUV,8,Diesel,Chosen Tour Mode,1139.0
SUV,8,Gas,Chosen Tour Mode,81009.0
SUV,8,Hybrid,Chosen Tour Mode,3805.0
SUV,8,PEV,Chosen Tour Mode,421.0
Van,1,BEV,Chosen Tour Mode,7.0
Van,1,Diesel,Chosen Tour Mode,650.0
Van,1,Gas,Chosen Tour Mode,26408.0
Van,1,Hybrid,Chosen Tour Mode,659.0
Van,1,PEV,Chosen Tour Mode,540.0
Van,2,Diesel,Chosen Tour Mode,706.0
Van,2,Gas,Chosen Tour Mode,28738.0
Van,2,Hybrid,Chosen Tour Mode,739.0
Van,2,PEV,Chosen Tour Mode,156.0
Van,3,Diesel,Chosen Tour Mode,798.0
Van,3,Gas,Chosen Tour Mode,43374.0
Van,3,Hybrid,Chosen Tour Mode,679.0
Van,3,PEV,Chosen Tour Mode,352.0
Van,4,Diesel,Chosen Tour Mode,670.0
Van,4,Gas,Chosen Tour Mode,51876.0
Van,4,Hybrid,Chosen Tour Mode,696.0
Van,4,PEV,Chosen Tour Mode,715.0
Van,5,BEV,Chosen Tour Mode,0.0
Van,5,Diesel,Chosen Tour Mode,561.0
Van,5,Gas,Chosen Tour Mode,45870.0
Van,5,Hybrid,Chosen Tour Mode,550.0
Van,5,PEV,Chosen Tour Mode,392.0
Van,6,Diesel,Chosen Tour Mode,562.0
Van,6,Gas,Chosen Tour Mode,39616.0
Van,6,Hybrid,Chosen Tour Mode,516.0
Van,6,PEV,Chosen Tour Mode,341.0
Van,7,BEV,Chosen Tour Mode,1.0
Van,7,Diesel,Chosen Tour Mode,485.0
Van,7,Gas,Chosen Tour Mode,37455.0
Van,7,Hybrid,Chosen Tour Mode,492.0
Van,7,PEV,Chosen Tour Mode,727.0
Van,8,Diesel,Chosen Tour Mode,451.0
Van,8,Gas,Chosen Tour Mode,23929.0
Van,8,Hybrid,Chosen Tour Mode,339.0
Van,8,PEV,Chosen Tour Mode,623.0
non_hh_veh,non_hh_veh,non_hh_veh,Chosen Tour Mode,47016.0
0,0,0,Chosen Tour Mode,1524952.0
Pickup,1,BEV,Chosen Tour Mode,0.0
Pickup,4,BEV,Chosen Tour Mode,0.0
Pickup,5,BEV,Chosen Tour Mode,0.0
Van,6,BEV,Chosen Tour Mode,1.0
Van,8,BEV,Chosen Tour Mode,1.0
Van,4,BEV,Chosen Tour Mode,1.0
0,0,0,Chosen Tour Mode,1524952.0
