stop_period,purpose,freq,stop_skim_period
4.75,1: Work,9274,1: EA
4.75,2: University,44,1: EA
4.75,3: School,1117,1: EA
4.75,4: Escort,335,1: EA
4.75,5: Individual Maintenance,242,1: EA
4.75,6: Individual Discretionary,960,1: EA
4.75,7: Joint Maintenance,79,1: EA
4.75,8: Joint Discretionary,193,1: EA
4.75,9: Work-based,15,1: EA
5.25,1: Work,10841,1: EA
5.25,2: University,54,1: EA
5.25,3: School,1459,1: EA
5.25,4: Escort,967,1: EA
5.25,5: Individual Maintenance,469,1: EA
5.25,6: Individual Discretionary,1194,1: EA
5.25,7: Joint Maintenance,119,1: EA
5.25,8: Joint Discretionary,240,1: EA
5.25,9: Work-based,30,1: EA
5.75,1: Work,25279,1: EA
5.75,2: University,48,1: EA
5.75,3: School,1634,1: EA
5.75,4: Escort,2852,1: EA
5.75,5: Individual Maintenance,726,1: EA
5.75,6: Individual Discretionary,1853,1: EA
5.75,7: Joint Maintenance,194,1: EA
5.75,8: Joint Discretionary,354,1: EA
5.75,9: Work-based,61,1: EA
6.25,1: Work,22948,2: AM
6.25,2: University,335,2: AM
6.25,3: School,1194,2: AM
6.25,4: Escort,6311,2: AM
6.25,5: Individual Maintenance,1133,2: AM
6.25,6: Individual Discretionary,2587,2: AM
6.25,7: Joint Maintenance,282,2: AM
6.25,8: Joint Discretionary,402,2: AM
6.25,9: Work-based,98,2: AM
6.75,1: Work,31776,2: AM
6.75,2: University,601,2: AM
6.75,3: School,11422,2: AM
6.75,4: Escort,13128,2: AM
6.75,5: Individual Maintenance,1927,2: AM
6.75,6: Individual Discretionary,3958,2: AM
6.75,7: Joint Maintenance,389,2: AM
6.75,8: Joint Discretionary,550,2: AM
6.75,9: Work-based,125,2: AM
7.25,1: Work,52125,2: AM
7.25,2: University,2823,2: AM
7.25,3: School,43634,2: AM
7.25,4: Escort,39390,2: AM
7.25,5: Individual Maintenance,2917,2: AM
7.25,6: Individual Discretionary,5641,2: AM
7.25,7: Joint Maintenance,488,2: AM
7.25,8: Joint Discretionary,628,2: AM
7.25,9: Work-based,133,2: AM
7.75,1: Work,73152,2: AM
7.75,2: University,4254,2: AM
7.75,3: School,63275,2: AM
7.75,4: Escort,74059,2: AM
7.75,5: Individual Maintenance,5005,2: AM
7.75,6: Individual Discretionary,10020,2: AM
7.75,7: Joint Maintenance,694,2: AM
7.75,8: Joint Discretionary,823,2: AM
7.75,9: Work-based,194,2: AM
8.25,1: Work,51388,2: AM
8.25,2: University,2915,2: AM
8.25,3: School,41618,2: AM
8.25,4: Escort,67799,2: AM
8.25,5: Individual Maintenance,7988,2: AM
8.25,6: Individual Discretionary,10980,2: AM
8.25,7: Joint Maintenance,917,2: AM
8.25,8: Joint Discretionary,811,2: AM
8.25,9: Work-based,284,2: AM
8.75,1: Work,32482,2: AM
8.75,2: University,3169,2: AM
8.75,3: School,18288,2: AM
8.75,4: Escort,41220,2: AM
8.75,5: Individual Maintenance,11497,2: AM
8.75,6: Individual Discretionary,12029,2: AM
8.75,7: Joint Maintenance,1262,2: AM
8.75,8: Joint Discretionary,822,2: AM
8.75,9: Work-based,315,2: AM
9.25,1: Work,23707,3: MD
9.25,2: University,2649,3: MD
9.25,3: School,5127,3: MD
9.25,4: Escort,15096,3: MD
9.25,5: Individual Maintenance,15852,3: MD
9.25,6: Individual Discretionary,14564,3: MD
9.25,7: Joint Maintenance,1796,3: MD
9.25,8: Joint Discretionary,1025,3: MD
9.25,9: Work-based,495,3: MD
9.75,1: Work,20034,3: MD
9.75,2: University,2287,3: MD
9.75,3: School,3267,3: MD
9.75,4: Escort,11528,3: MD
9.75,5: Individual Maintenance,25949,3: MD
9.75,6: Individual Discretionary,17203,3: MD
9.75,7: Joint Maintenance,2883,3: MD
9.75,8: Joint Discretionary,1841,3: MD
9.75,9: Work-based,594,3: MD
10.25,1: Work,13481,3: MD
10.25,2: University,2051,3: MD
10.25,3: School,2413,3: MD
10.25,4: Escort,9529,3: MD
10.25,5: Individual Maintenance,42684,3: MD
10.25,6: Individual Discretionary,19464,3: MD
10.25,7: Joint Maintenance,4784,3: MD
10.25,8: Joint Discretionary,2085,3: MD
10.25,9: Work-based,785,3: MD
10.75,1: Work,13690,3: MD
10.75,2: University,2350,3: MD
10.75,3: School,2898,3: MD
10.75,4: Escort,10424,3: MD
10.75,5: Individual Maintenance,44010,3: MD
10.75,6: Individual Discretionary,15797,3: MD
10.75,7: Joint Maintenance,5359,3: MD
10.75,8: Joint Discretionary,1929,3: MD
10.75,9: Work-based,1002,3: MD
11.25,1: Work,14732,3: MD
11.25,2: University,2276,3: MD
