jointCat,HHSIZE,freq
0.0,2,311816
0.0,3,175231
0.0,4,138693
0.0,5,132880
1.0,2,47772
1.0,3,23311
1.0,4,23967
1.0,5,21462
2.0,2,3797
2.0,3,5111
2.0,4,7743
2.0,5,11295
