distbin,District,purpose,value
1,1: Downtown,Work,4730.0
1,2: Central,Work,19625.0
1,3: North City,Work,7503.0
1,4: South Suburban,Work,3462.0
1,5: East Suburban,Work,3837.0
1,6: North County West,Work,4899.0
1,7: North County East,Work,4584.0
1,8: East County,Work,229.0
2,1: Downtown,Work,2792.0
2,2: Central,Work,15131.0
2,3: North City,Work,15665.0
2,4: South Suburban,Work,7408.0
2,5: East Suburban,Work,8386.0
2,6: North County West,Work,7115.0
2,7: North County East,Work,10632.0
2,8: East County,Work,567.0
3,1: Downtown,Work,1874.0
3,2: Central,Work,16486.0
3,3: North City,Work,17258.0
3,4: South Suburban,Work,8202.0
3,5: East Suburban,Work,9063.0
3,6: North County West,Work,8730.0
3,7: North County East,Work,12244.0
3,8: East County,Work,287.0
4,1: Downtown,Work,1556.0
4,2: Central,Work,15971.0
4,3: North City,Work,20191.0
4,4: South Suburban,Work,7677.0
4,5: East Suburban,Work,8522.0
4,6: North County West,Work,10567.0
4,7: North County East,Work,11389.0
4,8: East County,Work,306.0
5,1: Downtown,Work,1378.0
5,2: Central,Work,15484.0
5,3: North City,Work,19566.0
5,4: South Suburban,Work,6746.0
5,5: East Suburban,Work,7515.0
5,6: North County West,Work,12222.0
5,7: North County East,Work,9296.0
5,8: East County,Work,363.0
6,1: Downtown,Work,1195.0
6,2: Central,Work,15099.0
6,3: North City,Work,18848.0
6,4: South Suburban,Work,5869.0
6,5: East Suburban,Work,6953.0
6,6: North County West,Work,18040.0
6,7: North County East,Work,8210.0
6,8: East County,Work,213.0
7,1: Downtown,Work,1113.0
7,2: Central,Work,18788.0
7,3: North City,Work,19599.0
7,4: South Suburban,Work,6518.0
7,5: East Suburban,Work,7094.0
7,6: North County West,Work,10042.0
7,7: North County East,Work,8612.0
7,8: East County,Work,198.0
8,1: Downtown,Work,849.0
8,2: Central,Work,18510.0
8,3: North City,Work,18689.0
8,4: South Suburban,Work,6925.0
8,5: East Suburban,Work,6765.0
8,6: North County West,Work,8507.0
8,7: North County East,Work,7918.0
8,8: East County,Work,127.0
9,1: Downtown,Work,844.0
9,2: Central,Work,17292.0
9,3: North City,Work,20811.0
9,4: South Suburban,Work,7595.0
9,5: East Suburban,Work,7452.0
9,6: North County West,Work,8722.0
9,7: North County East,Work,8371.0
9,8: East County,Work,231.0
10,1: Downtown,Work,1194.0
10,2: Central,Work,15995.0
10,3: North City,Work,21775.0
10,4: South Suburban,Work,8148.0
10,5: East Suburban,Work,8818.0
10,6: North County West,Work,8575.0
10,7: North County East,Work,7634.0
10,8: East County,Work,109.0
11,1: Downtown,Work,964.0
11,2: Central,Work,15433.0
11,3: North City,Work,20038.0
11,4: South Suburban,Work,7221.0
11,5: East Suburban,Work,8660.0
11,6: North County West,Work,10142.0
