period,purpose,freq_dep,freq_arr,skim_period
4.75,1: Work,35958.0,43.0,1: EA
4.75,2: University,202.0,2.0,1: EA
4.75,3: School,3599.0,11.0,1: EA
4.75,4: Escort,1171.0,584.0,1: EA
4.75,5: Individual Maintenance,590.0,56.0,1: EA
4.75,6: Individual Discretionary,2288.0,40.0,1: EA
4.75,7: Joint Maintenance,220.0,32.0,1: EA
4.75,8: Joint Discretionary,564.0,16.0,1: EA
4.75,9: Work-based,90.0,7.0,1: EA
5.25,1: Work,39570.0,93.0,1: EA
5.25,2: University,214.0,,1: EA
5.25,3: School,4399.0,22.0,1: EA
5.25,4: Escort,2494.0,1428.0,1: EA
5.25,5: Individual Maintenance,897.0,199.0,1: EA
5.25,6: Individual Discretionary,2983.0,233.0,1: EA
5.25,7: Joint Maintenance,255.0,67.0,1: EA
5.25,8: Joint Discretionary,650.0,92.0,1: EA
5.25,9: Work-based,178.0,29.0,1: EA
5.75,1: Work,104139.0,212.0,1: EA
5.75,2: University,216.0,4.0,1: EA
5.75,3: School,5496.0,32.0,1: EA
5.75,4: Escort,6385.0,3504.0,1: EA
5.75,5: Individual Maintenance,1302.0,382.0,1: EA
5.75,6: Individual Discretionary,3974.0,645.0,1: EA
5.75,7: Joint Maintenance,351.0,146.0,1: EA
5.75,8: Joint Discretionary,659.0,197.0,1: EA
5.75,9: Work-based,404.0,56.0,1: EA
6.25,1: Work,58011.0,257.0,2: AM
6.25,2: University,1298.0,10.0,2: AM
6.25,3: School,3899.0,34.0,2: AM
6.25,4: Escort,11422.0,9937.0,2: AM
6.25,5: Individual Maintenance,1973.0,759.0,2: AM
6.25,6: Individual Discretionary,4883.0,1405.0,2: AM
6.25,7: Joint Maintenance,378.0,217.0,2: AM
6.25,8: Joint Discretionary,672.0,400.0,2: AM
6.25,9: Work-based,474.0,124.0,2: AM
6.75,1: Work,91838.0,450.0,2: AM
6.75,2: University,2221.0,20.0,2: AM
6.75,3: School,46553.0,84.0,2: AM
6.75,4: Escort,23849.0,19674.0,2: AM
6.75,5: Individual Maintenance,3236.0,1259.0,2: AM
6.75,6: Individual Discretionary,6619.0,2722.0,2: AM
6.75,7: Joint Maintenance,540.0,369.0,2: AM
6.75,8: Joint Discretionary,713.0,726.0,2: AM
6.75,9: Work-based,604.0,167.0,2: AM
7.25,1: Work,127729.0,708.0,2: AM
7.25,2: University,10028.0,58.0,2: AM
7.25,3: School,155354.0,191.0,2: AM
7.25,4: Escort,72046.0,49583.0,2: AM
7.25,5: Individual Maintenance,5064.0,1943.0,2: AM
7.25,6: Individual Discretionary,9111.0,3713.0,2: AM
7.25,7: Joint Maintenance,657.0,437.0,2: AM
7.25,8: Joint Discretionary,774.0,706.0,2: AM
7.25,9: Work-based,805.0,262.0,2: AM
7.75,1: Work,160097.0,1158.0,2: AM
7.75,2: University,13156.0,123.0,2: AM
7.75,3: School,186883.0,326.0,2: AM
7.75,4: Escort,136893.0,91223.0,2: AM
7.75,5: Individual Maintenance,8764.0,2313.0,2: AM
7.75,6: Individual Discretionary,15564.0,3901.0,2: AM
7.75,7: Joint Maintenance,919.0,447.0,2: AM
7.75,8: Joint Discretionary,1066.0,567.0,2: AM
7.75,9: Work-based,1003.0,380.0,2: AM
8.25,1: Work,119076.0,1604.0,2: AM
8.25,2: University,9348.0,162.0,2: AM
8.25,3: School,101107.0,374.0,2: AM
8.25,4: Escort,92689.0,99317.0,2: AM
8.25,5: Individual Maintenance,15552.0,3097.0,2: AM
8.25,6: Individual Discretionary,16527.0,4819.0,2: AM
8.25,7: Joint Maintenance,1596.0,448.0,2: AM
8.25,8: Joint Discretionary,1081.0,500.0,2: AM
8.25,9: Work-based,1490.0,485.0,2: AM
8.75,1: Work,86127.0,2254.0,2: AM
8.75,2: University,10437.0,280.0,2: AM
8.75,3: School,53907.0,393.0,2: AM
8.75,4: Escort,42541.0,72004.0,2: AM
8.75,5: Individual Maintenance,20210.0,3953.0,2: AM
8.75,6: Individual Discretionary,18081.0,5989.0,2: AM
8.75,7: Joint Maintenance,2050.0,465.0,2: AM
8.75,8: Joint Discretionary,1078.0,491.0,2: AM
8.75,9: Work-based,1834.0,805.0,2: AM
9.25,1: Work,50676.0,2943.0,3: MD
9.25,2: University,8768.0,492.0,3: MD
9.25,3: School,8669.0,386.0,3: MD
9.25,4: Escort,10239.0,23745.0,3: MD
9.25,5: Individual Maintenance,26008.0,5179.0,3: MD
9.25,6: Individual Discretionary,20043.0,7934.0,3: MD
9.25,7: Joint Maintenance,2698.0,559.0,3: MD
9.25,8: Joint Discretionary,1176.0,546.0,3: MD
9.25,9: Work-based,2400.0,1016.0,3: MD
9.75,1: Work,31090.0,3774.0,3: MD
9.75,2: University,7033.0,663.0,3: MD
9.75,3: School,4569.0,405.0,3: MD
9.75,4: Escort,9856.0,13061.0,3: MD
9.75,5: Individual Maintenance,48041.0,8901.0,3: MD
9.75,6: Individual Discretionary,21506.0,11234.0,3: MD
9.75,7: Joint Maintenance,4911.0,826.0,3: MD
9.75,8: Joint Discretionary,2683.0,752.0,3: MD
9.75,9: Work-based,2782.0,1368.0,3: MD
10.25,1: Work,21303.0,4523.0,3: MD
10.25,2: University,5953.0,1187.0,3: MD
10.25,3: School,2969.0,992.0,3: MD
10.25,4: Escort,9998.0,10421.0,3: MD
10.25,5: Individual Maintenance,54556.0,24865.0,3: MD
10.25,6: Individual Discretionary,15022.0,11698.0,3: MD
10.25,7: Joint Maintenance,5751.0,2227.0,3: MD
10.25,8: Joint Discretionary,1932.0,816.0,3: MD
10.25,9: Work-based,3468.0,1934.0,3: MD
10.75,1: Work,19475.0,6217.0,3: MD
10.75,2: University,5051.0,1967.0,3: MD
10.75,3: School,2208.0,2060.0,3: MD
10.75,4: Escort,10578.0,10230.0,3: MD
10.75,5: Individual Maintenance,54524.0,30413.0,3: MD
10.75,6: Individual Discretionary,15254.0,12359.0,3: MD
10.75,7: Joint Maintenance,5696.0,2957.0,3: MD
10.75,8: Joint Discretionary,1885.0,1003.0,3: MD
10.75,9: Work-based,4636.0,2739.0,3: MD
11.25,1: Work,18734.0,7735.0,3: MD
11.25,2: University,4085.0,2952.0,3: MD
11.25,3: School,1748.0,3807.0,3: MD
11.25,4: Escort,10870.0,10495.0,3: MD
11.25,5: Individual Maintenance,43956.0,37464.0,3: MD
11.25,6: Individual Discretionary,17933.0,15100.0,3: MD
11.25,7: Joint Maintenance,4697.0,3748.0,3: MD
11.25,8: Joint Discretionary,2296.0,1360.0,3: MD
11.25,9: Work-based,5758.0,3624.0,3: MD
11.75,1: Work,17847.0,9956.0,3: MD
11.75,2: University,3442.0,3738.0,3: MD
11.75,3: School,1702.0,6043.0,3: MD
11.75,4: Escort,11966.0,11034.0,3: MD
11.75,5: Individual Maintenance,30429.0,42301.0,3: MD
11.75,6: Individual Discretionary,18083.0,14633.0,3: MD
11.75,7: Joint Maintenance,3191.0,4529.0,3: MD
11.75,8: Joint Discretionary,2246.0,1411.0,3: MD
11.75,9: Work-based,20689.0,5935.0,3: MD
12.25,1: Work,17201.0,12441.0,3: MD
12.25,2: University,2925.0,8695.0,3: MD
12.25,3: School,1325.0,8898.0,3: MD
12.25,4: Escort,13016.0,11853.0,3: MD
12.25,5: Individual Maintenance,29056.0,41393.0,3: MD
12.25,6: Individual Discretionary,15536.0,15466.0,3: MD
12.25,7: Joint Maintenance,2929.0,4545.0,3: MD
12.25,8: Joint Discretionary,1844.0,1757.0,3: MD
12.25,9: Work-based,24482.0,12180.0,3: MD
12.75,1: Work,16847.0,15847.0,3: MD
12.75,2: University,2544.0,5537.0,3: MD
12.75,3: School,1061.0,12145.0,3: MD
12.75,4: Escort,14184.0,13219.0,3: MD
12.75,5: Individual Maintenance,28991.0,35931.0,3: MD
