distbin,purpose,freq
29,5: Individual Maintenance,1079
29,6: Individual Discretionary,528
29,7: Joint Maintenance,201
29,8: Joint Discretionary,97
29,9: Work-based,105
30,1: Work,2097
30,2: University,161
30,3: School,2621
30,4: Escort,645
30,5: Individual Maintenance,936
30,6: Individual Discretionary,469
30,7: Joint Maintenance,169
30,8: Joint Discretionary,107
30,9: Work-based,109
31,1: Work,1759
31,2: University,133
31,3: School,2397
31,4: Escort,586
31,5: Individual Maintenance,841
31,6: Individual Discretionary,424
31,7: Joint Maintenance,181
31,8: Joint Discretionary,95
31,9: Work-based,106
32,1: Work,1952
32,2: University,115
32,3: School,2127
32,4: Escort,513
32,5: Individual Maintenance,746
32,6: Individual Discretionary,343
32,7: Joint Maintenance,151
32,8: Joint Discretionary,65
32,9: Work-based,108
33,1: Work,1561
33,2: University,108
33,3: School,1908
33,4: Escort,479
33,5: Individual Maintenance,681
33,6: Individual Discretionary,328
33,7: Joint Maintenance,137
33,8: Joint Discretionary,56
33,9: Work-based,74
34,1: Work,1445
34,2: University,94
34,3: School,1745
34,4: Escort,395
34,5: Individual Maintenance,590
34,6: Individual Discretionary,258
34,7: Joint Maintenance,139
34,8: Joint Discretionary,53
34,9: Work-based,74
35,1: Work,1252
35,2: University,71
35,3: School,1688
35,4: Escort,348
35,5: Individual Maintenance,545
35,6: Individual Discretionary,208
35,7: Joint Maintenance,111
35,8: Joint Discretionary,46
35,9: Work-based,79
36,1: Work,985
36,2: University,69
36,3: School,1466
36,4: Escort,297
36,5: Individual Maintenance,453
36,6: Individual Discretionary,216
36,7: Joint Maintenance,101
36,8: Joint Discretionary,52
36,9: Work-based,79
37,1: Work,966
37,2: University,45
37,3: School,1313
37,4: Escort,264
37,5: Individual Maintenance,390
37,6: Individual Discretionary,195
37,7: Joint Maintenance,74
37,8: Joint Discretionary,42
37,9: Work-based,63
38,1: Work,792
38,2: University,49
38,3: School,1169
38,4: Escort,224
38,5: Individual Maintenance,324
38,6: Individual Discretionary,175
38,7: Joint Maintenance,65
38,8: Joint Discretionary,31
38,9: Work-based,56
39,1: Work,764
39,2: University,51
39,3: School,1132
39,4: Escort,179
39,5: Individual Maintenance,293
39,6: Individual Discretionary,151
39,7: Joint Maintenance,70
39,8: Joint Discretionary,34
39,9: Work-based,54
40,1: Work,811
40,2: University,41
40,3: School,1058
40,4: Escort,164
40,5: Individual Maintenance,294
40,6: Individual Discretionary,137
40,7: Joint Maintenance,43
40,8: Joint Discretionary,24
40,9: Work-based,53
41,1: Work,610
41,2: University,28
41,3: School,929
41,4: Escort,162
41,5: Individual Maintenance,253
41,6: Individual Discretionary,106
41,7: Joint Maintenance,34
41,8: Joint Discretionary,31
41,9: Work-based,50
42,1: Work,516
42,2: University,27
42,3: School,795
42,4: Escort,116
42,5: Individual Maintenance,184
42,6: Individual Discretionary,100
42,7: Joint Maintenance,34
42,8: Joint Discretionary,24
42,9: Work-based,52
43,1: Work,479
43,2: University,22
43,3: School,758
43,4: Escort,114
43,5: Individual Maintenance,151
43,6: Individual Discretionary,95
43,7: Joint Maintenance,49
43,8: Joint Discretionary,22
43,9: Work-based,51
100000,1: Work,4335
100000,2: University,210
100000,3: School,7309
100000,4: Escort,768
100000,5: Individual Maintenance,1223
100000,6: Individual Discretionary,857
100000,7: Joint Maintenance,278
100000,8: Joint Discretionary,210
100000,9: Work-based,688
