District,Workers,WFH,%WFH
1: Downtown,25825,2216,0.0858083252662149
2: Central,306126,26774,0.08746071878899538
3: North City,404050,38556,0.09542383368395001
4: South Suburban,175473,16127,0.0919058772574698
5: East Suburban,227478,21769,0.09569716631938034
6: North County West,218217,22526,0.10322752122886851
7: North County East,210501,20844,0.09902090726409851
8: East County,9426,1148,0.1217907914279652
Total,1577096,149960,0.09508615835687872
