purpose,avgDist
4: Escort,27.825592587213553
5: Individual Maintenance,32.450730884611815
6: Individual Discretionary,30.64742060729205
7: Joint Maintenance,30.202575197640588
8: Joint Discretionary,29.04543262315755
Total,30.996424564229358
