purpose,avgDist
4: Escort,4.598185821273353
5: Individual Maintenance,5.019129287026861
6: Individual Discretionary,5.567916758449092
7: Joint Maintenance,6.1645668399509885
8: Joint Discretionary,5.8733560408859224
9: Work-based,3.4806611261655944
Total,4.963647748721506
