PERTYPE,active_persons,tours,tour_rate
1: Full-Time Worker,1033905,1529777,1.479610796
2: Part-Time Worker,310687,590928,1.902004268
3: University Student,154860,271197,1.75123983
4: Non-Worker,322203,705841,2.190671719
5: Retiree,283596,482600,1.701716526
6: Driving Aged Student,85218,112162,1.316177333
7: Non-Driving Aged Student,485403,642592,1.32383195
8: Child To Young for School,164644,258465,1.569841598
Total,2840516,5552942,1.95490608
