distbin,District,purpose,value
2,7: North County East,Work,49.0
3,4: South Suburban,Work,22.0
3,6: North County West,Work,310.0
3,7: North County East,Work,15.0
4,4: South Suburban,Work,17.0
4,7: North County East,Work,9.0
5,4: South Suburban,Work,20.0
5,7: North County East,Work,13.0
6,4: South Suburban,Work,27.0
6,7: North County East,Work,20.0
7,4: South Suburban,Work,11.0
7,7: North County East,Work,69.0
8,4: South Suburban,Work,7.0
8,6: North County West,Work,4.0
8,7: North County East,Work,110.0
9,4: South Suburban,Work,3.0
9,7: North County East,Work,98.0
10,4: South Suburban,Work,3.0
10,7: North County East,Work,194.0
11,4: South Suburban,Work,2.0
11,7: North County East,Work,122.0
12,7: North County East,Work,26.0
13,2: Central,Work,1.0
13,5: East Suburban,Work,1.0
13,7: North County East,Work,41.0
14,2: Central,Work,2.0
14,7: North County East,Work,27.0
15,2: Central,Work,3.0
15,6: North County West,Work,29.0
15,7: North County East,Work,41.0
16,2: Central,Work,1.0
16,6: North County West,Work,8.0
16,7: North County East,Work,48.0
17,1: Downtown,Work,1.0
17,6: North County West,Work,15.0
17,7: North County East,Work,22.0
18,2: Central,Work,1.0
18,6: North County West,Work,18.0
18,7: North County East,Work,9.0
19,1: Downtown,Work,1.0
19,2: Central,Work,3.0
19,6: North County West,Work,57.0
19,7: North County East,Work,34.0
20,2: Central,Work,3.0
20,6: North County West,Work,254.0
20,7: North County East,Work,46.0
21,5: East Suburban,Work,1.0
21,6: North County West,Work,255.0
21,7: North County East,Work,105.0
22,2: Central,Work,1.0
22,6: North County West,Work,322.0
22,7: North County East,Work,188.0
23,3: North City,Work,1.0
23,6: North County West,Work,222.0
23,7: North County East,Work,358.0
24,3: North City,Work,2.0
24,5: East Suburban,Work,1.0
24,6: North County West,Work,352.0
24,7: North County East,Work,238.0
25,3: North City,Work,2.0
25,6: North County West,Work,392.0
25,7: North County East,Work,332.0
26,6: North County West,Work,379.0
26,7: North County East,Work,333.0
27,6: North County West,Work,322.0
27,7: North County East,Work,248.0
28,6: North County West,Work,119.0
28,7: North County East,Work,156.0
29,3: North City,Work,1.0
29,5: East Suburban,Work,1.0
29,6: North County West,Work,52.0
29,7: North County East,Work,269.0
30,3: North City,Work,44.0
30,6: North County West,Work,135.0
30,7: North County East,Work,149.0
