num_stops,purpose,Direction,value
3,9: Work-based,Total,2931.0
4,1: Work,Total,39316.0
4,2: University,Total,227.0
4,3: School,Total,11660.0
4,4: Escort,Total,30454.0
4,5: Individual Maintenance,Total,23879.0
4,6: Individual Discretionary,Total,8731.0
4,7: Joint Maintenance,Total,2153.0
4,8: Joint Discretionary,Total,864.0
5,1: Work,Total,11973.0
5,2: University,Total,27.0
5,3: School,Total,132.0
5,4: Escort,Total,4965.0
5,5: Individual Maintenance,Total,8123.0
5,6: Individual Discretionary,Total,2289.0
5,7: Joint Maintenance,Total,603.0
5,8: Joint Discretionary,Total,117.0
6,1: Work,Total,9382.0
6,2: University,Total,4.0
6,4: Escort,Total,8026.0
6,5: Individual Maintenance,Total,3500.0
6,6: Individual Discretionary,Total,1337.0
6,7: Joint Maintenance,Total,581.0
6,8: Joint Discretionary,Total,114.0
