tour_composition,NUMBER_HH,freq
All Adult,2,82723
All Adult,3,12552
All Adult,4,2476
All Adult,5,920
All Children,2,2376
All Children,3,1709
All Children,4,792
All Children,5,692
Mixed,2,33268
Mixed,3,23893
Mixed,4,8709
Mixed,5,2294
